width_LLS_B,Weights,error_LLS_B
6.249414772600710322e+00,9.969093775947189817e-01,-1.005852273992893231e-01
6.275277364387969570e+00,1.005523729029039970e+00,-7.472263561203007498e-02
6.286147071139840392e+00,1.006330420802139969e+00,-6.385292886015925262e-02
6.310314492955169996e+00,1.004692384062400023e+00,-3.968550704482964875e-02
6.400393816008509873e+00,9.973742568037380352e-01,5.039381600851022824e-02
6.388488475375059927e+00,9.981196866296979664e-01,3.848847537506028260e-02
6.338375580541120158e+00,9.968262979108249988e-01,-1.162441945887948691e-02
6.335126281298579798e+00,9.911332859882550084e-01,-1.487371870141984687e-02
6.347332825683560387e+00,9.989445036931899891e-01,-2.667174316439258064e-03
6.333205349584050126e+00,1.006801881102439955e+00,-1.679465041594951913e-02
6.345322765628240269e+00,1.005879107380740045e+00,-4.677234371759375620e-03
6.332126341127439773e+00,1.002525200260810045e+00,-1.787365887255987218e-02
6.322126540967049735e+00,1.002075862882189972e+00,-2.787345903294990990e-02
6.337303290832780434e+00,9.980540617679910520e-01,-1.269670916721921117e-02
6.335174346456460270e+00,9.945063974665370177e-01,-1.482565354353937437e-02
6.297175398541789981e+00,9.954197098734850480e-01,-5.282460145820966346e-02
6.284574846399720194e+00,1.002136488352689980e+00,-6.542515360027945093e-02
6.305167801097759650e+00,9.989159297101309898e-01,-4.483219890223999471e-02
6.345302908451260215e+00,1.002704880059410053e+00,-4.697091548739429356e-03
6.333197375733679912e+00,1.005717438627589999e+00,-1.680262426631973227e-02
6.320071202130559840e+00,1.002644458053739918e+00,-2.992879786943980491e-02
6.360132152715070042e+00,9.978468861742380014e-01,1.013215271507039716e-02
6.348454930138509589e+00,9.971849842307249911e-01,-1.545069861490055985e-03
6.296168040959519985e+00,1.001037992603829974e+00,-5.383195904047965996e-02
6.284346584968080407e+00,9.975108224872080154e-01,-6.565341503191923778e-02
6.321323991063899861e+00,9.986869127063180418e-01,-2.867600893609978385e-02
6.333409271474569557e+00,9.999024354732860553e-01,-1.659072852543008736e-02
6.306167774488719679e+00,9.980822766245389666e-01,-4.383222551127996525e-02
6.320230691992179572e+00,9.980602834110130495e-01,-2.976930800782007225e-02
6.321304058499319645e+00,1.001818921929600092e+00,-2.869594150068000005e-02
6.322304010406329944e+00,1.003374588226330077e+00,-2.769598959366970092e-02
6.322387523712859725e+00,1.005155645784260088e+00,-2.761247628713991986e-02
6.322205706871610431e+00,1.004091275713600018e+00,-2.779429312838921362e-02
6.259358593338459897e+00,9.985054131884210094e-01,-9.064140666153974735e-02
6.219177598364590054e+00,9.975367338479920187e-01,-1.308224016354095909e-01
6.282154089163999977e+00,9.970767657077770352e-01,-6.784591083599966765e-02
6.305285481245079815e+00,1.006382992627739892e+00,-4.471451875491982975e-02
6.319222262272470303e+00,1.004316294964650025e+00,-3.077773772752934178e-02
6.281154113695990304e+00,1.001183621121670031e+00,-6.884588630400934051e-02
6.306445988034780292e+00,9.999076632236599815e-01,-4.355401196521935248e-02
6.256109414004839664e+00,9.986404941375990330e-01,-9.389058599515998083e-02
6.255207910213700373e+00,9.959204041997720136e-01,-9.479208978629927174e-02
6.231349532805880109e+00,1.011884359799180011e+00,-1.186504671941195355e-01
6.218299204766529975e+00,9.998057343960149446e-01,-1.317007952334696697e-01
6.219148655563720318e+00,9.997433976418389490e-01,-1.308513444362793265e-01
6.255486312030419604e+00,9.920126474398009986e-01,-9.451368796958004026e-02
6.241208376588620155e+00,9.969360672666820467e-01,-1.087916234113794900e-01
6.267448763252880362e+00,1.001006177048719969e+00,-8.255123674711928317e-02
6.242538586184309679e+00,1.005828689416990107e+00,-1.074614138156899656e-01
6.254498940762560188e+00,1.000930421551740057e+00,-9.550105923743945624e-02
6.242176943983570148e+00,9.945861757822009874e-01,-1.078230560164294971e-01
6.218185265815099783e+00,9.954692969525239521e-01,-1.318147341848998622e-01
6.232427536682640046e+00,1.007537503928469969e+00,-1.175724633173595990e-01
6.272523017096069964e+00,9.999348879525129519e-01,-7.747698290392968090e-02
6.295214769966150037e+00,9.969644719371150154e-01,-5.478523003384960788e-02
