width_LLS_B,Weights,error_LLS_B
5.942727740692819616e+00,9.977171338572029535e-01,-4.072722593071800290e-01
5.981048737470709753e+00,9.993939212739839650e-01,-3.689512625292898917e-01
5.980144647080040343e+00,9.986473147005180406e-01,-3.698553529199593015e-01
5.966821348088109822e+00,9.986291005305200086e-01,-3.831786519118898227e-01
5.940727985693340152e+00,1.005356360470869959e+00,-4.092720143066594929e-01
5.929729336150169949e+00,1.004698662630630013e+00,-4.202706638498296954e-01
5.953635695942439909e+00,9.885457416799889874e-01,-3.963643040575597354e-01
5.957052962665350115e+00,1.000363304937220033e+00,-3.929470373346495293e-01
5.954925776195699960e+00,9.988312434378350257e-01,-3.950742238042996846e-01
5.967959282702920198e+00,1.002368394248690064e+00,-3.820407172970794463e-01
5.979086886808049783e+00,1.006464516568049916e+00,-3.709131131919498614e-01
5.963740856207619956e+00,1.002291837037730060e+00,-3.862591437923796889e-01
5.999468809819750170e+00,1.001211749268529960e+00,-3.505311901802494745e-01
5.977975660706560390e+00,9.963589929889840047e-01,-3.720243392934392546e-01
6.036913201297499754e+00,1.003715148800760071e+00,-3.130867987024998911e-01
6.038983772125900096e+00,1.004255562862560014e+00,-3.110162278740995490e-01
6.028401861190079813e+00,1.006696171112950067e+00,-3.215981388099198313e-01
5.988920520427700289e+00,1.000852565164559893e+00,-3.610794795722993555e-01
5.977265679221559935e+00,1.000147287095489945e+00,-3.727343207784397094e-01
5.947840700624049681e+00,1.001423575762800056e+00,-4.021592993759499635e-01
5.922040357849650327e+00,1.000231764835070036e+00,-4.279596421503493175e-01
5.933859620853869643e+00,9.967643848208449509e-01,-4.161403791461300017e-01
5.974165464732290154e+00,9.952971166309270146e-01,-3.758345352677094908e-01
5.973087978591980374e+00,1.007129323620540085e+00,-3.769120214080192710e-01
5.986104743487199897e+00,1.002294433480990010e+00,-3.638952565127997474e-01
5.926515080551130410e+00,1.000339054027139962e+00,-4.234849194488692348e-01
5.837561220235720327e+00,9.950952965000670059e-01,-5.124387797642793174e-01
5.807949207766889721e+00,9.988334382877129825e-01,-5.420507922331099238e-01
