time,leftedge,rightedge,gap,x,y_LE,y_RE
2.869999999999999774e-01,3.403999999999999915e+00,9.640000000000000568e+00,6.235999999999999766e+00,1.539039039039038874e-02,1.250000000000000000e+02,1.278599999999999994e+02
2.959999999999999853e-01,3.378000000000000114e+00,9.615999999999999659e+00,6.238000000000000433e+00,1.587301587301587213e-02,1.250000000000000000e+02,1.278840000000000003e+02
3.049999999999999933e-01,3.379999999999999893e+00,9.603999999999999204e+00,6.224000000000000199e+00,1.635564135564135380e-02,1.250000000000000000e+02,1.278960000000000008e+02
3.130000000000000004e-01,3.391000000000000014e+00,9.615999999999999659e+00,6.224999999999999645e+00,1.678464178464178502e-02,1.250000000000000000e+02,1.278840000000000003e+02
3.210000000000000075e-01,3.416999999999999815e+00,9.630000000000000782e+00,6.213000000000000078e+00,1.721364221364221278e-02,1.250000000000000000e+02,1.278700000000000045e+02
3.310000000000000164e-01,3.404999999999999805e+00,9.618000000000000327e+00,6.213000000000000078e+00,1.774989274989275181e-02,1.250000000000000000e+02,1.278820000000000050e+02
3.390000000000000235e-01,3.379999999999999893e+00,9.579000000000000625e+00,6.198999999999999844e+00,1.817889317889317957e-02,1.250000000000000000e+02,1.279209999999999923e+02
3.479999999999999760e-01,3.391999999999999904e+00,9.567999999999999616e+00,6.176000000000000156e+00,1.866151866151866123e-02,1.250000000000000000e+02,1.279320000000000022e+02
3.559999999999999831e-01,3.379999999999999893e+00,9.567999999999999616e+00,6.187999999999999723e+00,1.909051909051908899e-02,1.250000000000000000e+02,1.279320000000000022e+02
3.649999999999999911e-01,3.354000000000000092e+00,9.566000000000000725e+00,6.211999999999999744e+00,1.957314457314457412e-02,1.250000000000000000e+02,1.279339999999999975e+02
3.739999999999999991e-01,3.354000000000000092e+00,9.554000000000000270e+00,6.200000000000000178e+00,2.005577005577005578e-02,1.250000000000000000e+02,1.279459999999999980e+02
3.830000000000000071e-01,3.354000000000000092e+00,9.564999999999999503e+00,6.211000000000000298e+00,2.053839553839553744e-02,1.250000000000000000e+02,1.279350000000000023e+02
3.920000000000000151e-01,3.366000000000000103e+00,9.589999999999999858e+00,6.224000000000000199e+00,2.102102102102102257e-02,1.250000000000000000e+02,1.279099999999999966e+02
4.000000000000000222e-01,3.391999999999999904e+00,9.627000000000000668e+00,6.235000000000000320e+00,2.145002145002145033e-02,1.250000000000000000e+02,1.278730000000000047e+02
4.079999999999999738e-01,3.391000000000000014e+00,9.628000000000000114e+00,6.237000000000000099e+00,2.187902187902187809e-02,1.250000000000000000e+02,1.278719999999999999e+02
4.179999999999999827e-01,3.403999999999999915e+00,9.630000000000000782e+00,6.225999999999999979e+00,2.241527241527241365e-02,1.250000000000000000e+02,1.278700000000000045e+02
4.259999999999999898e-01,3.443000000000000060e+00,9.654999999999999361e+00,6.211999999999999744e+00,2.284427284427284488e-02,1.250000000000000000e+02,1.278449999999999989e+02
4.349999999999999978e-01,3.455000000000000071e+00,9.667999999999999261e+00,6.213000000000000078e+00,2.332689832689832654e-02,1.250000000000000000e+02,1.278319999999999936e+02
4.440000000000000058e-01,3.467999999999999972e+00,9.657999999999999474e+00,6.190000000000000391e+00,2.380952380952381167e-02,1.250000000000000000e+02,1.278419999999999987e+02
4.520000000000000129e-01,3.431000000000000050e+00,9.632999999999999119e+00,6.201999999999999957e+00,2.423852423852423943e-02,1.250000000000000000e+02,1.278670000000000044e+02
4.610000000000000209e-01,3.404999999999999805e+00,9.596999999999999531e+00,6.192000000000000171e+00,2.472114972114972109e-02,1.250000000000000000e+02,1.279030000000000058e+02
4.699999999999999734e-01,3.406000000000000139e+00,9.596000000000000085e+00,6.190000000000000391e+00,2.520377520377520275e-02,1.250000000000000000e+02,1.279039999999999964e+02
4.779999999999999805e-01,3.406000000000000139e+00,9.608999999999999986e+00,6.203000000000000291e+00,2.563277563277563051e-02,1.250000000000000000e+02,1.278910000000000053e+02
4.869999999999999885e-01,3.380999999999999783e+00,9.582000000000000739e+00,6.200999999999999623e+00,2.611540111540111564e-02,1.250000000000000000e+02,1.279180000000000064e+02
4.959999999999999964e-01,3.367999999999999883e+00,9.570000000000000284e+00,6.201999999999999957e+00,2.659802659802659730e-02,1.250000000000000000e+02,1.279300000000000068e+02
5.040000000000000036e-01,3.341000000000000192e+00,9.555999999999999162e+00,6.214999999999999858e+00,2.702702702702702853e-02,1.250000000000000000e+02,1.279440000000000026e+02
5.130000000000000115e-01,3.342000000000000082e+00,9.544000000000000483e+00,6.201999999999999957e+00,2.750965250965251019e-02,1.250000000000000000e+02,1.279560000000000031e+02
5.220000000000000195e-01,3.341000000000000192e+00,9.532999999999999474e+00,6.192000000000000171e+00,2.799227799227799532e-02,1.250000000000000000e+02,1.279669999999999987e+02
5.310000000000000275e-01,3.341000000000000192e+00,9.531000000000000583e+00,6.190000000000000391e+00,2.847490347490347698e-02,1.250000000000000000e+02,1.279689999999999941e+02
5.390000000000000346e-01,3.341000000000000192e+00,9.555999999999999162e+00,6.214999999999999858e+00,2.890390390390390474e-02,1.250000000000000000e+02,1.279440000000000026e+02
5.480000000000000426e-01,3.354999999999999982e+00,9.567000000000000171e+00,6.211999999999999744e+00,2.938652938652938987e-02,1.250000000000000000e+02,1.279329999999999927e+02
5.560000000000000497e-01,3.380999999999999783e+00,9.582000000000000739e+00,6.200999999999999623e+00,2.981552981552981763e-02,1.250000000000000000e+02,1.279180000000000064e+02
5.649999999999999467e-01,3.406000000000000139e+00,9.593999999999999417e+00,6.187999999999999723e+00,3.029815529815529582e-02,1.250000000000000000e+02,1.279060000000000059e+02
5.749999999999999556e-01,3.416999999999999815e+00,9.618000000000000327e+00,6.200999999999999623e+00,3.083440583440583138e-02,1.250000000000000000e+02,1.278820000000000050e+02
5.829999999999999627e-01,3.430000000000000160e+00,9.618999999999999773e+00,6.189000000000000057e+00,3.126340626340626261e-02,1.250000000000000000e+02,1.278810000000000002e+02
5.909999999999999698e-01,3.443000000000000060e+00,9.619999999999999218e+00,6.176999999999999602e+00,3.169240669240669384e-02,1.250000000000000000e+02,1.278799999999999955e+02
5.999999999999999778e-01,3.443000000000000060e+00,9.617000000000000881e+00,6.174000000000000377e+00,3.217503217503217550e-02,1.250000000000000000e+02,1.278829999999999956e+02
6.089999999999999858e-01,3.418000000000000149e+00,9.595000000000000639e+00,6.176999999999999602e+00,3.265765765765765716e-02,1.250000000000000000e+02,1.279050000000000011e+02
6.169999999999999929e-01,3.404999999999999805e+00,9.592000000000000526e+00,6.187000000000000277e+00,3.308665808665808838e-02,1.250000000000000000e+02,1.279080000000000013e+02
6.260000000000000009e-01,3.379999999999999893e+00,9.569000000000000838e+00,6.189000000000000057e+00,3.356928356928357005e-02,1.250000000000000000e+02,1.279309999999999974e+02
6.350000000000000089e-01,3.354999999999999982e+00,9.544999999999999929e+00,6.190000000000000391e+00,3.405190905190905171e-02,1.250000000000000000e+02,1.279549999999999983e+02
6.440000000000000169e-01,3.366999999999999993e+00,9.554999999999999716e+00,6.187999999999999723e+00,3.453453453453453337e-02,1.250000000000000000e+02,1.279449999999999932e+02
6.520000000000000240e-01,3.391999999999999904e+00,9.567999999999999616e+00,6.176000000000000156e+00,3.496353496353496459e-02,1.250000000000000000e+02,1.279320000000000022e+02
6.610000000000000320e-01,3.406000000000000139e+00,9.592999999999999972e+00,6.187000000000000277e+00,3.544616044616044626e-02,1.250000000000000000e+02,1.279069999999999965e+02
6.700000000000000400e-01,3.403999999999999915e+00,9.590999999999999304e+00,6.187000000000000277e+00,3.592878592878593486e-02,1.250000000000000000e+02,1.279090000000000060e+02
6.780000000000000471e-01,3.391999999999999904e+00,9.567000000000000171e+00,6.174999999999999822e+00,3.635778635778635914e-02,1.250000000000000000e+02,1.279329999999999927e+02
6.870000000000000551e-01,3.406000000000000139e+00,9.567000000000000171e+00,6.160999999999999588e+00,3.684041184041184080e-02,1.250000000000000000e+02,1.279329999999999927e+02
6.949999999999999512e-01,3.404999999999999805e+00,9.569000000000000838e+00,6.163999999999999702e+00,3.726941226941226509e-02,1.250000000000000000e+02,1.279309999999999974e+02
7.049999999999999600e-01,3.455999999999999961e+00,9.595000000000000639e+00,6.139000000000000234e+00,3.780566280566280413e-02,1.250000000000000000e+02,1.279050000000000011e+02
7.129999999999999671e-01,3.634999999999999787e+00,9.621000000000000441e+00,5.985999999999999766e+00,3.823466323466323535e-02,1.250000000000000000e+02,1.278790000000000049e+02
7.209999999999999742e-01,3.418000000000000149e+00,9.598000000000000753e+00,6.179999999999999716e+00,3.866366366366365964e-02,1.250000000000000000e+02,1.279020000000000010e+02
7.299999999999999822e-01,3.431999999999999940e+00,9.609999999999999432e+00,6.177999999999999936e+00,3.914628914628914824e-02,1.250000000000000000e+02,1.278900000000000006e+02
7.389999999999999902e-01,3.456999999999999851e+00,9.621999999999999886e+00,6.165000000000000036e+00,3.962891462891462990e-02,1.250000000000000000e+02,1.278780000000000001e+02
7.469999999999999973e-01,3.456999999999999851e+00,9.608999999999999986e+00,6.152000000000000135e+00,4.005791505791506113e-02,1.250000000000000000e+02,1.278910000000000053e+02
7.570000000000000062e-01,3.404999999999999805e+00,9.570000000000000284e+00,6.165000000000000036e+00,4.059416559416559322e-02,1.250000000000000000e+02,1.279300000000000068e+02
7.650000000000000133e-01,3.380999999999999783e+00,9.544000000000000483e+00,6.163000000000000256e+00,4.102316602316602445e-02,1.250000000000000000e+02,1.279560000000000031e+02
7.740000000000000213e-01,3.366999999999999993e+00,9.541999999999999815e+00,6.174999999999999822e+00,4.150579150579150611e-02,1.250000000000000000e+02,1.279579999999999984e+02
7.820000000000000284e-01,3.379999999999999893e+00,9.542999999999999261e+00,6.163000000000000256e+00,4.193479193479193734e-02,1.250000000000000000e+02,1.279569999999999936e+02
7.910000000000000364e-01,3.354999999999999982e+00,9.542999999999999261e+00,6.187999999999999723e+00,4.241741741741741900e-02,1.250000000000000000e+02,1.279569999999999936e+02
8.000000000000000444e-01,3.355999999999999872e+00,9.528999999999999915e+00,6.173000000000000043e+00,4.290004290004290066e-02,1.250000000000000000e+02,1.279710000000000036e+02
8.090000000000000524e-01,3.366999999999999993e+00,9.554999999999999716e+00,6.187999999999999723e+00,4.338266838266838926e-02,1.250000000000000000e+02,1.279449999999999932e+02
8.169999999999999485e-01,3.406000000000000139e+00,9.580999999999999517e+00,6.174999999999999822e+00,4.381166881166880661e-02,1.250000000000000000e+02,1.279189999999999969e+02
8.259999999999999565e-01,3.418000000000000149e+00,9.606999999999999318e+00,6.189000000000000057e+00,4.429429429429429521e-02,1.250000000000000000e+02,1.278930000000000007e+02
8.349999999999999645e-01,3.418000000000000149e+00,9.631000000000000227e+00,6.213000000000000078e+00,4.477691977691977687e-02,1.250000000000000000e+02,1.278689999999999998e+02
8.439999999999999725e-01,3.418000000000000149e+00,9.644000000000000128e+00,6.225999999999999979e+00,4.525954525954525853e-02,1.250000000000000000e+02,1.278559999999999945e+02
8.519999999999999796e-01,3.431000000000000050e+00,9.646000000000000796e+00,6.214999999999999858e+00,4.568854568854568976e-02,1.250000000000000000e+02,1.278539999999999992e+02
8.609999999999999876e-01,3.431000000000000050e+00,9.646000000000000796e+00,6.214999999999999858e+00,4.617117117117117142e-02,1.250000000000000000e+02,1.278539999999999992e+02
8.699999999999999956e-01,3.406000000000000139e+00,9.621000000000000441e+00,6.214999999999999858e+00,4.665379665379665308e-02,1.250000000000000000e+02,1.278790000000000049e+02
8.780000000000000027e-01,3.379999999999999893e+00,9.582000000000000739e+00,6.201999999999999957e+00,4.708279708279708431e-02,1.250000000000000000e+02,1.279180000000000064e+02
8.870000000000000107e-01,3.355999999999999872e+00,9.567000000000000171e+00,6.211000000000000298e+00,4.756542256542256597e-02,1.250000000000000000e+02,1.279329999999999927e+02
8.960000000000000187e-01,3.329000000000000181e+00,9.542999999999999261e+00,6.214000000000000412e+00,4.804804804804804763e-02,1.250000000000000000e+02,1.279569999999999936e+02
9.040000000000000258e-01,3.329000000000000181e+00,9.516999999999999460e+00,6.187999999999999723e+00,4.847704847704847886e-02,1.250000000000000000e+02,1.279830000000000041e+02
9.130000000000000338e-01,3.315999999999999837e+00,9.515000000000000568e+00,6.198999999999999844e+00,4.895967395967396052e-02,1.250000000000000000e+02,1.279849999999999994e+02
9.260000000000000453e-01,3.302999999999999936e+00,9.513999999999999346e+00,6.211000000000000298e+00,4.965679965679965779e-02,1.250000000000000000e+02,1.279860000000000042e+02
9.340000000000000524e-01,3.315999999999999837e+00,9.503999999999999559e+00,6.187999999999999723e+00,5.008580008580008902e-02,1.250000000000000000e+02,1.279959999999999951e+02
9.479999999999999538e-01,3.303999999999999826e+00,9.503000000000000114e+00,6.198999999999999844e+00,5.083655083655083673e-02,1.250000000000000000e+02,1.279969999999999999e+02
9.609999999999999654e-01,3.341000000000000192e+00,9.518000000000000682e+00,6.176999999999999602e+00,5.153367653367653400e-02,1.250000000000000000e+02,1.279819999999999993e+02
9.739999999999999769e-01,3.329000000000000181e+00,9.505000000000000782e+00,6.176000000000000156e+00,5.223080223080223128e-02,1.250000000000000000e+02,1.279950000000000045e+02
9.879999999999999893e-01,3.354999999999999982e+00,9.518000000000000682e+00,6.163000000000000256e+00,5.298155298155297899e-02,1.250000000000000000e+02,1.279819999999999993e+02
9.959999999999999964e-01,3.379000000000000004e+00,9.531000000000000583e+00,6.152000000000000135e+00,5.341055341055341021e-02,1.250000000000000000e+02,1.279689999999999941e+02
1.012999999999999901e+00,3.379000000000000004e+00,9.529999999999999361e+00,6.150999999999999801e+00,5.432217932217931616e-02,1.250000000000000000e+02,1.279699999999999989e+02
1.026000000000000023e+00,3.342000000000000082e+00,9.492000000000000881e+00,6.150000000000000355e+00,5.501930501930502038e-02,1.250000000000000000e+02,1.280080000000000098e+02
1.038999999999999924e+00,3.342000000000000082e+00,9.467000000000000526e+00,6.125000000000000000e+00,5.571643071643071071e-02,1.250000000000000000e+02,1.280329999999999870e+02
1.052999999999999936e+00,3.327999999999999847e+00,9.464999999999999858e+00,6.136999999999999567e+00,5.646718146718146536e-02,1.250000000000000000e+02,1.280349999999999966e+02
1.064999999999999947e+00,3.327999999999999847e+00,9.478999999999999204e+00,6.150999999999999801e+00,5.711068211068210526e-02,1.250000000000000000e+02,1.280210000000000150e+02
1.078000000000000069e+00,3.341000000000000192e+00,9.505000000000000782e+00,6.163999999999999702e+00,5.780780780780780947e-02,1.250000000000000000e+02,1.279950000000000045e+02
1.092999999999999972e+00,3.391999999999999904e+00,9.541000000000000369e+00,6.149000000000000021e+00,5.861218361218361456e-02,1.250000000000000000e+02,1.279590000000000032e+02
1.104999999999999982e+00,3.430000000000000160e+00,9.579000000000000625e+00,6.149000000000000021e+00,5.925568425568425446e-02,1.250000000000000000e+02,1.279209999999999923e+02
1.116999999999999993e+00,3.391000000000000014e+00,9.529999999999999361e+00,6.139000000000000234e+00,5.989918489918490130e-02,1.250000000000000000e+02,1.279699999999999989e+02
1.125999999999999890e+00,3.379000000000000004e+00,9.502000000000000668e+00,6.123000000000000220e+00,6.038181038181037602e-02,1.250000000000000000e+02,1.279980000000000047e+02
1.139999999999999902e+00,3.366000000000000103e+00,9.490999999999999659e+00,6.125000000000000000e+00,6.113256113256113067e-02,1.250000000000000000e+02,1.280090000000000146e+02
1.153000000000000025e+00,3.339999999999999858e+00,9.487999999999999545e+00,6.147999999999999687e+00,6.182968682968683488e-02,1.250000000000000000e+02,1.280120000000000005e+02
1.167000000000000037e+00,3.329000000000000181e+00,9.464999999999999858e+00,6.136000000000000121e+00,6.258043758043758953e-02,1.250000000000000000e+02,1.280349999999999966e+02
1.179000000000000048e+00,3.353000000000000203e+00,9.502000000000000668e+00,6.149000000000000021e+00,6.322393822393822249e-02,1.250000000000000000e+02,1.279980000000000047e+02
1.195000000000000062e+00,3.354000000000000092e+00,9.500000000000000000e+00,6.145999999999999908e+00,6.408193908193908495e-02,1.250000000000000000e+02,1.280000000000000000e+02
1.215000000000000080e+00,3.354000000000000092e+00,9.489000000000000767e+00,6.134999999999999787e+00,6.515444015444016301e-02,1.250000000000000000e+02,1.280109999999999957e+02
1.233000000000000096e+00,3.403999999999999915e+00,9.525999999999999801e+00,6.121999999999999886e+00,6.611969111969112634e-02,1.250000000000000000e+02,1.279740000000000038e+02
1.243999999999999995e+00,3.406000000000000139e+00,9.526999999999999247e+00,6.121000000000000441e+00,6.670956670956670886e-02,1.250000000000000000e+02,1.279729999999999990e+02
1.260999999999999899e+00,3.428999999999999826e+00,9.551000000000000156e+00,6.121999999999999886e+00,6.762119262119262175e-02,1.250000000000000000e+02,1.279489999999999981e+02
1.274000000000000021e+00,3.428999999999999826e+00,9.550000000000000711e+00,6.121000000000000441e+00,6.831831831831831903e-02,1.250000000000000000e+02,1.279500000000000028e+02
1.292000000000000037e+00,3.416999999999999815e+00,9.538000000000000256e+00,6.121000000000000441e+00,6.928356928356928235e-02,1.250000000000000000e+02,1.279620000000000033e+02
1.308999999999999941e+00,3.403999999999999915e+00,9.537000000000000810e+00,6.133000000000000007e+00,7.019519519519519524e-02,1.250000000000000000e+02,1.279629999999999939e+02
1.326000000000000068e+00,3.365000000000000213e+00,9.487000000000000099e+00,6.121999999999999886e+00,7.110682110682110812e-02,1.250000000000000000e+02,1.280130000000000052e+02
1.338999999999999968e+00,3.379999999999999893e+00,9.512000000000000455e+00,6.131999999999999673e+00,7.180394680394680540e-02,1.250000000000000000e+02,1.279879999999999995e+02
