Tow Spacing (mm),Average Gap (%),Average Overlap (%),Intersection Spacing (mm),Intersection Gap/Overlap (%)
6.09,2.181447880294292,2.4032609360447914,6.100700880342503,2.16545818583037
6.092222222222222,2.0505592650930624,2.203402992620975,6.100700880342503,2.16545818583037
6.094444444444444,2.115717331319213,2.264934981939665,6.100700880342503,2.16545818583037
6.096666666666667,2.214801165946051,2.3429104829614795,6.100700880342503,2.16545818583037
6.098888888888889,2.112448726769714,2.2315050007927413,6.100700880342503,2.16545818583037
6.101111111111111,2.1774594075196854,2.1505053362393225,6.100700880342503,2.16545818583037
6.1033333333333335,2.20505081115694,2.2122037576814764,6.100700880342503,2.16545818583037
6.105555555555556,2.1473039600876502,2.049014854758403,6.100700880342503,2.16545818583037
6.107777777777778,2.1384585188538976,2.127904476114562,6.100700880342503,2.16545818583037
6.11,2.2931921010969836,2.1911008108051355,6.100700880342503,2.16545818583037
