width_LLS_B,Weights,error_LLS_B
6.181253675428630245e+00,9.893372877596700032e-01,-1.687463245713693993e-01
6.220261168150419628e+00,9.957581558666690480e-01,-1.297388318495800164e-01
6.246317715262329706e+00,1.000374578084830102e+00,-1.036822847376699386e-01
6.244317817023730122e+00,1.003751431706199959e+00,-1.056821829762695231e-01
6.267183817313799921e+00,1.007535116194570035e+00,-8.281618268619972412e-02
6.279249716327580444e+00,1.006316737258130090e+00,-7.075028367241920080e-02
6.291198693412890286e+00,9.975421966012989472e-01,-5.880130658710935876e-02
6.252161946079129784e+00,9.994606250198000419e-01,-9.783805392086986075e-02
6.264140803015210146e+00,1.002205085645470062e+00,-8.585919698478949869e-02
6.278049776801710280e+00,1.005254845048900059e+00,-7.195022319828936475e-02
6.316324247535109571e+00,1.000831139029670025e+00,-3.367575246489007412e-02
6.290183145187429936e+00,9.974115737086549638e-01,-5.981685481256970860e-02
6.318239390842990133e+00,1.000365457437319971e+00,-3.176060915700951170e-02
6.318205837102810030e+00,1.000343480770019999e+00,-3.179416289718961508e-02
6.279140466656239816e+00,9.982962609363960071e-01,-7.085953334375982848e-02
6.293183057880960440e+00,9.913590226995580013e-01,-5.681694211903920433e-02
6.306120598275930078e+00,1.002340545500479907e+00,-4.387940172406956663e-02
6.330139334959380193e+00,9.984883544382480158e-01,-1.986066504061945182e-02
6.303146674479339850e+00,9.985836761614730328e-01,-4.685332552065979428e-02
6.302190492201900085e+00,1.003219186352930059e+00,-4.780950779809955975e-02
6.328323632685039613e+00,1.001628139207459967e+00,-2.167636731496003222e-02
6.327265839207329989e+00,1.001002039434270019e+00,-2.273416079266965539e-02
6.328197531683089849e+00,1.006212416449260072e+00,-2.180246831690979548e-02
6.339213279264230394e+00,1.009100549344019937e+00,-1.078672073576925072e-02
6.326197594131880209e+00,1.004811167642160052e+00,-2.380240586811943615e-02
6.339364715805520412e+00,9.956677808700119536e-01,-1.063528419447923312e-02
6.250259914595550192e+00,9.933486584280110110e-01,-9.974008540444945226e-02
6.251259873017599666e+00,9.982106138116010330e-01,-9.874012698239997832e-02
6.225135018616059668e+00,1.001121932927329983e+00,-1.248649813839399769e-01
6.249208109832800062e+00,1.003837032396809992e+00,-1.007918901671995826e-01
6.262207677808199868e+00,1.002259122997569918e+00,-8.779232219179977648e-02
6.262413911583940340e+00,9.948738825569369837e-01,-8.758608841605930451e-02
6.273121232687920212e+00,9.977057478835910098e-01,-7.687876731207943237e-02
6.262277940174810098e+00,1.003477298413659957e+00,-8.772205982518954670e-02
6.273092140244710180e+00,1.004445507357339951e+00,-7.690785975528946494e-02
6.260232903015669592e+00,1.000823519475809942e+00,-8.976709698433005258e-02
6.248115555909640406e+00,1.005316713728549916e+00,-1.018844440903592385e-01
6.234050128126980006e+00,1.000262581162780107e+00,-1.159498718730196387e-01
6.223308846586360410e+00,1.001325891052069927e+00,-1.266911534136392348e-01
6.182272074245839910e+00,1.004125751502330077e+00,-1.677279257541597346e-01
6.259486001262399846e+00,1.005144330942389974e+00,-9.051399873759979897e-02
6.260250474222259776e+00,9.959124828486729530e-01,-8.974952577773986917e-02
6.248327776293430169e+00,9.992612065485330097e-01,-1.016722237065694756e-01
6.259537123462090236e+00,1.005570348531739988e+00,-9.046287653790940908e-02
6.284459563080980082e+00,9.976635326010589999e-01,-6.554043691901956237e-02
6.294378205986670416e+00,9.926816866340589796e-01,-5.562179401332922879e-02
6.307334936405389669e+00,9.985199054503269833e-01,-4.266506359460997544e-02
6.307275957178339887e+00,9.872690400378739684e-01,-4.272404282165975786e-02
6.319314045052680129e+00,1.000921299864210079e+00,-3.068595494731951590e-02
6.304182738468170122e+00,9.959602371111949681e-01,-4.581726153182952288e-02
6.293086524115169667e+00,9.941877835491520488e-01,-5.691347588482997821e-02
6.293223180533169980e+00,9.938268245928280065e-01,-5.677681946682966441e-02
6.294258097663299800e+00,1.004422883183339943e+00,-5.574190233669984451e-02
6.229328776040000015e+00,1.002792278538130022e+00,-1.206712239599996295e-01
6.231339021430310154e+00,9.992332743554660501e-01,-1.186609785696894903e-01
6.245103762148390025e+00,9.960590305405360168e-01,-1.048962378516096194e-01
6.244499739770989599e+00,9.961882589607340410e-01,-1.055002602290100455e-01
6.271336859075580250e+00,9.974509667858290074e-01,-7.866314092441939465e-02
6.282378928399659834e+00,9.947379502245420335e-01,-6.762107160033981046e-02
6.295175454266540349e+00,9.967625090950019695e-01,-5.482454573345929560e-02
6.268277674130270150e+00,9.944847282011609613e-01,-8.172232586972949520e-02
6.319334300383229852e+00,9.995016277855970355e-01,-3.066569961676979261e-02
6.381310993831910139e+00,1.000593538463999899e+00,3.131099383191049412e-02
6.382263548303219736e+00,9.980762442912110011e-01,3.226354830322009093e-02
6.332284263991949658e+00,9.991565742180580356e-01,-1.771573600804998705e-02
6.294534136852390382e+00,1.005287397671670080e+00,-5.546586314760926228e-02
6.244392364353799962e+00,1.003304609629350086e+00,-1.056076356461996824e-01
6.230155375269550433e+00,9.991793107840060140e-01,-1.198446247304492118e-01
