center_CAM,Weights,error_CAM
9.080441999999999680e-01,3.424158430605500070e-01,9.080441999999999680e-01
9.319401000000000490e-01,3.306644525175049809e-01,9.319401000000000490e-01
8.204259000000000412e-01,3.189123387674600019e-01,8.204259000000000412e-01
8.044953000000000243e-01,3.071609482244149758e-01,8.044953000000000243e-01
8.204259000000000412e-01,2.954088344743699968e-01,8.204259000000000412e-01
7.646688000000000374e-01,2.836574439313250262e-01,7.646688000000000374e-01
7.328076000000000034e-01,2.719053301812799917e-01,7.328076000000000034e-01
6.770504999999999995e-01,2.697530386583359974e-01,6.770504999999999995e-01
7.328076000000000034e-01,2.990768554669769874e-01,7.328076000000000034e-01
7.646688000000000374e-01,3.142303860511699853e-01,7.646688000000000374e-01
6.531546000000000296e-01,3.353132766640770090e-01,6.531546000000000296e-01
5.973975000000000257e-01,3.624824394353050039e-01,5.973975000000000257e-01
5.496056999999999748e-01,3.912598224740470032e-01,5.496056999999999748e-01
5.336750999999999578e-01,4.051174836004119983e-01,5.336750999999999578e-01
5.177445000000000519e-01,4.261039403987689766e-01,5.177445000000000519e-01
5.097791999999999879e-01,4.421130610093679802e-01,5.097791999999999879e-01
4.540220999999999840e-01,4.511778402072860183e-01,4.540220999999999840e-01
4.540220999999999840e-01,5.148019503867220514e-01,4.540220999999999840e-01
4.779180000000000095e-01,5.450511876866409589e-01,4.779180000000000095e-01
4.062302999999999886e-01,5.544635416013380391e-01,4.062302999999999886e-01
3.345426000000000233e-01,5.783103081977000182e-01,3.345426000000000233e-01
3.265773000000000148e-01,6.257405339052549698e-01,3.265773000000000148e-01
2.947160999999999809e-01,6.391916495524360142e-01,2.947160999999999809e-01
3.026813999999999893e-01,6.507104887771999469e-01,3.026813999999999893e-01
3.106466999999999978e-01,6.754826976747789757e-01,3.106466999999999978e-01
3.106466999999999978e-01,7.090361258813220324e-01,3.106466999999999978e-01
2.867507999999999724e-01,7.398128804995629526e-01,2.867507999999999724e-01
2.230283999999999878e-01,7.741618847850859630e-01,2.230283999999999878e-01
1.433753999999999862e-01,8.046165027525999935e-01,1.433753999999999862e-01
1.911672000000000093e-01,8.185999985669529799e-01,1.911672000000000093e-01
1.115141999999999939e-01,8.534400885508449663e-01,1.115141999999999939e-01
1.035488999999999993e-01,8.830489764938339592e-01,1.035488999999999993e-01
3.982650000000000079e-02,8.988296844449169543e-01,3.982650000000000079e-02
-7.965299999999999811e-03,9.093712578261600177e-01,-7.965299999999999811e-03
-4.779180000000000234e-02,9.399566074294799511e-01,-4.779180000000000234e-02
-3.982650000000000079e-02,9.545091504935979687e-01,-3.982650000000000079e-02
-3.982650000000000079e-02,9.718832221204110056e-01,-3.982650000000000079e-02
-4.779180000000000234e-02,9.850619793771709931e-01,-4.779180000000000234e-02
-1.513406999999999947e-01,9.877250765974370239e-01,-1.513406999999999947e-01
-1.035488999999999993e-01,1.002969389292809987e+00,-1.035488999999999993e-01
-1.194795000000000024e-01,9.968997120616329699e-01,-1.194795000000000024e-01
