x_LE,y_LE,x_RE,y_RE
0.000000000000000000e+00,2.588000000000000114e+02,0.000000000000000000e+00,2.649759999999999991e+02
4.968532626697581313e-04,2.588109999999999786e+02,4.965791216067093252e-04,2.649990000000000236e+02
9.385006072650988731e-04,2.588369999999999891e+02,9.931582432134186504e-04,2.650260000000000105e+02
1.435353869934856896e-03,2.588249999999999886e+02,1.434561906863827084e-03,2.650110000000000241e+02
1.932207132604615244e-03,2.588000000000000114e+02,1.931141028470536626e-03,2.649990000000000236e+02
2.429060395274373375e-03,2.587599999999999909e+02,2.427720150077245734e-03,2.650249999999999773e+02
2.870707739869713792e-03,2.587610000000000241e+02,2.869123813727654168e-03,2.650369999999999777e+02
3.367561002539471923e-03,2.587479999999999905e+02,3.365702935334363710e-03,2.650140000000000100e+02
3.809208347134813207e-03,2.587500000000000000e+02,3.862282056941073252e-03,2.649660000000000082e+02
4.306061609804571338e-03,2.587620000000000005e+02,4.358861178547782794e-03,2.649780000000000086e+02
4.747708954399911321e-03,2.587880000000000109e+02,4.800264842198190794e-03,2.649929999999999950e+02
5.244562217069669886e-03,2.588509999999999991e+02,5.296843963804900336e-03,2.650160000000000196e+02
5.741415479739427584e-03,2.588639999999999759e+02,5.793423085411609011e-03,2.650430000000000064e+02
6.183062824334768434e-03,2.588249999999999886e+02,6.234826749062017878e-03,2.650529999999999973e+02
6.679916087004526132e-03,2.588260000000000218e+02,6.731405870668727420e-03,2.650679999999999836e+02
7.176769349674284697e-03,2.588240000000000123e+02,7.227984992275436962e-03,2.650899999999999750e+02
7.673622612344044129e-03,2.588620000000000232e+02,7.669388655925845830e-03,2.651019999999999754e+02
8.115269956939383245e-03,2.588750000000000000e+02,8.165967777532553637e-03,2.650889999999999986e+02
8.612123219609142677e-03,2.588620000000000232e+02,8.662546899139263179e-03,2.651000000000000227e+02
9.108976482278900375e-03,2.588620000000000232e+02,9.103950562789672046e-03,2.651259999999999764e+02
9.550623826874240357e-03,2.588750000000000000e+02,9.600529684396381588e-03,2.651750000000000114e+02
1.004747708954399806e-02,2.588870000000000005e+02,1.009710880600309113e-02,2.651999999999999886e+02
1.054433035221375749e-02,2.588369999999999891e+02,1.059368792760980067e-02,2.652040000000000077e+02
1.098597769680909747e-02,2.588120000000000118e+02,1.103509159126020954e-02,2.652289999999999850e+02
1.153803687755327288e-02,2.588129999999999882e+02,1.158684617082321802e-02,2.652429999999999950e+02
1.197968422214861460e-02,2.588369999999999891e+02,1.202824983447362689e-02,2.652440000000000282e+02
1.247653748481837230e-02,2.588759999999999764e+02,1.246965349812403576e-02,2.652060000000000173e+02
1.291818482941371402e-02,2.588620000000000232e+02,1.296623261973074356e-02,2.651809999999999832e+02
1.341503809208346998e-02,2.588759999999999764e+02,1.346281174133745484e-02,2.651789999999999736e+02
1.391189135475322941e-02,2.589139999999999873e+02,1.395939086294416438e-02,2.651920000000000073e+02
1.440874461742298711e-02,2.589510000000000218e+02,1.440079452659457325e-02,2.652029999999999745e+02
1.485039196201832883e-02,2.589370000000000118e+02,1.489737364820128279e-02,2.652269999999999754e+02
1.534724522468808826e-02,2.589379999999999882e+02,1.539395276980799233e-02,2.652520000000000095e+02
1.584409848735784249e-02,2.589379999999999882e+02,1.583535643345839947e-02,2.652660000000000196e+02
1.628574583195318420e-02,2.589510000000000218e+02,1.638711101302140968e-02,2.652640000000000100e+02
1.678259909462294364e-02,2.589510000000000218e+02,1.682851467667181855e-02,2.652649999999999864e+02
1.727945235729269960e-02,2.589519999999999982e+02,1.726991834032222742e-02,2.652780000000000200e+02
1.777630561996245903e-02,2.589379999999999882e+02,1.776649746192893523e-02,2.652799999999999727e+02
1.821795296455780075e-02,2.589510000000000218e+02,1.826307658353564650e-02,2.653059999999999832e+02
1.871480622722756018e-02,2.589639999999999986e+02,1.870448024718605537e-02,2.653070000000000164e+02
1.915645357182289843e-02,2.589780000000000086e+02,1.920105936879276318e-02,2.653310000000000173e+02
1.965330683449265439e-02,2.589510000000000218e+02,1.969763849039947098e-02,2.653310000000000173e+02
2.015016009716241382e-02,2.589510000000000218e+02,2.019421761200618226e-02,2.653290000000000077e+02
2.059180744175775554e-02,2.589510000000000218e+02,2.063562127565659113e-02,2.653039999999999736e+02
2.108866070442751497e-02,2.589499999999999886e+02,2.118737585521960134e-02,2.652919999999999732e+02
2.158551396709727441e-02,2.589490000000000123e+02,2.162877951887001021e-02,2.652919999999999732e+02
2.208236722976703037e-02,2.589610000000000127e+02,2.212535864047671802e-02,2.653029999999999973e+02
2.252401457436236862e-02,2.589739999999999895e+02,2.256676230412712342e-02,2.653020000000000209e+02
2.302086783703212805e-02,2.589750000000000227e+02,2.306334142573383469e-02,2.653020000000000209e+02
2.346251518162746977e-02,2.589859999999999900e+02,2.355992054734054597e-02,2.653159999999999741e+02
2.401457436237164692e-02,2.589870000000000232e+02,2.400132421099095484e-02,2.653530000000000086e+02
2.445622170696698516e-02,2.589739999999999895e+02,2.449790333259766265e-02,2.653539999999999850e+02
2.489786905156232688e-02,2.589490000000000123e+02,2.499448245420437392e-02,2.653550000000000182e+02
2.539472231423208631e-02,2.589499999999999886e+02,2.543588611785478279e-02,2.653419999999999845e+02
2.589157557690184228e-02,2.589499999999999886e+02,2.593246523946148713e-02,2.653450000000000273e+02
2.638842883957160171e-02,2.589750000000000227e+02,2.642904436106819840e-02,2.653550000000000182e+02
2.683007618416693996e-02,2.589750000000000227e+02,2.687044802471860727e-02,2.653430000000000177e+02
2.732692944683669939e-02,2.589879999999999995e+02,2.736702714632531855e-02,2.653439999999999941e+02
2.782378270950645882e-02,2.589879999999999995e+02,2.786360626793202636e-02,2.653419999999999845e+02
2.826543005410180054e-02,2.590260000000000105e+02,2.830500993158243522e-02,2.653539999999999850e+02
2.876228331677155650e-02,2.590380000000000109e+02,2.885676451114544544e-02,2.653650000000000091e+02
2.925913657944131593e-02,2.590120000000000005e+02,2.929816817479585431e-02,2.653670000000000186e+02
2.975598984211107537e-02,2.590249999999999773e+02,2.979474729640256558e-02,2.653790000000000191e+02
3.019763718670641708e-02,2.590760000000000218e+02,3.023615096005297445e-02,2.654019999999999868e+02
3.069449044937617652e-02,2.590880000000000223e+02,3.095343191348488843e-02,2.654030000000000200e+02
3.119134371204592901e-02,2.590889999999999986e+02,3.145001103509158930e-02,2.654300000000000068e+02
3.168819697471568497e-02,2.590889999999999986e+02,3.194659015669830404e-02,2.654300000000000068e+02
3.218505023738544440e-02,2.591159999999999854e+02,3.244316927830501185e-02,2.654549999999999841e+02
3.262669758198078612e-02,2.591150000000000091e+02,3.288457294195541725e-02,2.654580000000000268e+02
3.306834492657612784e-02,2.591030000000000086e+02,3.338115206356213199e-02,2.654549999999999841e+02
3.356519818924588727e-02,2.590910000000000082e+02,3.387773118516883980e-02,2.654440000000000168e+02
