Time,X_mm,TapeWidthAfterCompaction_Rotated,Weights,TapeWidthAfterCompaction
07/26/2023 13:30:34.258,105.629541062138,6.21838282835658,0.997620862876824,6.218
07/26/2023 13:30:34.267,107.413325514629,6.24227883068355,1.00326073554965,6.242
07/26/2023 13:30:34.276,109.212737228914,6.23003539315789,1.00388653987627,6.23
07/26/2023 13:30:34.285,111.013870544148,6.2171286780957,1.00487768927687,6.217
07/26/2023 13:30:34.293,112.615671884054,6.23127932289991,1.0041618078545,6.231
07/26/2023 13:30:34.302,114.417948927077,6.27047278919221,1.00219004428123,6.27
07/26/2023 13:30:34.311,116.214657855471,6.30835580797406,1.00736049229038,6.308
07/26/2023 13:30:34.320,118.022768388098,6.32221385275759,1.00240727378908,6.322
07/26/2023 13:30:34.328,119.621291389672,6.33529367906493,0.992109574999824,6.335
07/26/2023 13:30:34.337,121.4015620603,6.32230401040633,0.993951936762805,6.322
07/26/2023 13:30:34.346,123.184424248915,6.36124649734626,0.99527480436993,6.361
07/26/2023 13:30:34.359,125.776293361948,6.35925545956443,0.987609103951547,6.359
07/26/2023 13:30:34.367,127.374049067792,6.37255364826378,0.998210204803998,6.372
07/26/2023 13:30:34.376,129.163452056769,6.37032149895121,0.998315614416611,6.37
07/26/2023 13:30:34.385,130.957646201628,6.31813303120471,1.00083443183427,6.318
07/26/2023 13:30:34.393,132.549580226388,6.29138943318565,1.00421845397033,6.291
07/26/2023 13:30:34.402,134.351362283401,6.29119082527307,1.00456817330983,6.291
07/26/2023 13:30:34.411,136.152413831496,6.27732626203227,1.00701135673679,6.277
07/26/2023 13:30:34.420,137.962127940319,6.26529696024059,0.992919399883478,6.265
07/26/2023 13:30:34.429,139.743127147033,6.24012187380984,0.998434751491473,6.24
07/26/2023 13:30:34.437,141.334642281315,6.25311546351097,0.99942559764979,6.253
07/26/2023 13:30:34.446,143.118973278629,6.25423312645124,1.00715641389067,6.254
07/26/2023 13:30:34.455,144.924836250587,6.25504995983246,1.01072668936167,6.255
07/26/2023 13:30:34.464,146.738309902978,6.28231589463631,1.00872597293733,6.282
07/26/2023 13:30:34.476,149.150679079141,6.28245970938135,0.993610076529655,6.282
07/26/2023 13:30:34.485,150.935084981,6.29432538084901,0.988949731309998,6.294
07/26/2023 13:30:34.493,152.708354431788,6.2784244042594,0.995800541213012,6.278
07/26/2023 13:30:34.502,154.494056378818,6.27740153248141,0.998677849834008,6.277
07/26/2023 13:30:34.511,156.286094621994,6.27746007554011,0.997904640465833,6.277
07/26/2023 13:30:34.523,158.674090872183,6.29024927963908,1.00371517280198,6.29
07/26/2023 13:30:34.532,160.475539290337,6.25112797821321,1.00265283050366,6.251
07/26/2023 13:30:34.541,162.275403819456,6.25004607983013,0.997881033858349,6.25
07/26/2023 13:30:34.550,164.065051825385,6.27449735038593,1.0008405760475,6.274
07/26/2023 13:30:34.563,166.66061256569,6.33908076932295,1.00563969747693,6.339
07/26/2023 13:30:34.572,168.464232404868,6.34144352651666,1.00570106078974,6.341
07/26/2023 13:30:34.584,170.867192785064,6.3004114151379,1.00423727774138,6.3
07/26/2023 13:30:34.593,172.667655139756,6.26136925919563,1.00716919017113,6.261
07/26/2023 13:30:34.606,175.274953020017,6.23416971215895,0.997728621476124,6.234
07/26/2023 13:30:34.615,177.065398736665,6.24725099543791,0.992930907987073,6.247
07/26/2023 13:30:34.628,179.63721420955,6.26123286581804,0.998715819532399,6.261
07/26/2023 13:30:34.637,181.428840376804,6.2491767457802,0.995009495907157,6.249
07/26/2023 13:30:34.650,184.006556213547,6.2472248238718,0.998556933700311,6.247
07/26/2023 13:30:34.663,186.59936226048,6.24638111229214,1.00289803879193,6.246
07/26/2023 13:30:34.672,188.400295901788,6.23303882548473,0.994650747231205,6.233
07/26/2023 13:30:34.685,190.977961950799,6.22121732460778,0.995326620293328,6.221
07/26/2023 13:30:34.694,192.763555825495,6.22120092908114,1.00142948645754,6.221
07/26/2023 13:30:34.706,195.162081369626,6.2352085771047,1.00423084421479,6.235
07/26/2023 13:30:34.716,197.163935270584,6.22120904647963,0.999810710152573,6.221
07/26/2023 13:30:34.728,199.554958496321,6.18209907717435,0.994544421209322,6.182
07/26/2023 13:30:34.737,201.33937283647,6.21820102602031,0.993993778379011,6.218
07/26/2023 13:30:34.750,203.91529416185,6.20641764627551,0.993669912859406,6.206
07/26/2023 13:30:34.763,206.495466811381,6.20314903899624,1.00131250690827,6.203
07/26/2023 13:30:34.772,208.292136191786,6.16618682817834,0.997524606091955,6.166
07/26/2023 13:30:34.785,210.874155513991,6.1784674475148,0.994843101206991,6.178
07/26/2023 13:30:34.798,213.488870133272,6.16558594133599,0.99716328479267,6.165
07/26/2023 13:30:34.807,215.287354297777,6.19231039273711,0.999251455670138,6.192
07/26/2023 13:30:34.820,217.87791299345,6.21848920558684,1.00044608671419,6.218
07/26/2023 13:30:34.829,219.671597788561,6.23040456150321,1.0054332991807,6.23
07/26/2023 13:30:34.842,222.274004035193,6.25609790524413,0.994818600125062,6.256
07/26/2023 13:30:34.851,224.058428529126,6.25734808045709,0.99124966735639,6.257
07/26/2023 13:30:34.862,226.430081336646,6.25633766671845,0.993115222894948,6.256
07/26/2023 13:30:34.871,228.210115528883,6.25733761275512,1.00068751374051,6.257
07/26/2023 13:30:34.884,230.805030682749,6.24334886098799,1.00250811307519,6.243
07/26/2023 13:30:34.893,232.603768620615,6.28119900974328,1.00038066117053,6.281
07/26/2023 13:30:34.906,235.195045375923,6.2563916117839,0.994735510243338,6.256
