Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1
2023-07-26 14:07:28.581,3935365,3935817,90.5665867919922,90.5705867919922,92.5324328613281,92.5364329020182,-5.227,0.917,6.144,6.11152125092889
2023-07-26 14:07:28.594,3935368,3935820,90.5796307779948,90.5836308186849,92.5454769287109,92.549476969401,-5.199,0.982,6.181,6.14030949551364
2023-07-26 14:07:28.607,3935371,3935823,90.5926748453776,90.5966748860677,92.5585206705729,92.5625311686198,-5.212,0.98,6.192,6.15158058620982
2023-07-26 14:07:28.620,3935374,3935826,90.6057189534505,90.6097189941406,92.5715647786458,92.5755648193359,-5.241,0.993,6.234,6.19616398549582
2023-07-26 14:07:28.633,3935377,3935829,90.6187626953125,90.6227627360026,92.5846088460287,92.5886089274089,-5.226,0.931,6.157,6.12008398867363
2023-07-26 14:07:28.646,3935380,3935832,90.6318067626953,90.6358068440755,92.5976529541016,92.6016529947917,-5.175,0.968,6.143,6.10692034113842
2023-07-26 14:07:28.658,3935383,3935835,90.6448508707682,90.6488509114583,92.6106966959635,92.6146967773438,-5.201,0.941,6.142,6.10341793842085
2023-07-26 14:07:28.671,3935386,3935838,90.657894938151,90.6618950195312,92.6237408040365,92.6277408447266,-5.209,0.933,6.142,6.12780829903353
2023-07-26 14:07:28.685,3935389,3935841,90.6709387207031,90.6749387613932,92.6367848714193,92.6407849527995,-5.185,1.043,6.228,6.19265791102013
2023-07-26 14:07:28.698,3935392,3935844,90.6839827880859,90.6879828694662,92.6498288574219,92.6538288574219,-5.177,0.993,6.17,6.13609066523583
2023-07-26 14:07:28.711,3935395,3935847,90.6970268961589,90.7010269368489,92.6628727213542,92.6668727620443,-5.176,0.994,6.17,6.12853799444281
2023-07-26 14:07:28.724,3935398,3935850,90.7100709635417,90.7140710449219,92.6759168294271,92.6799168701172,-5.204,0.994,6.198,6.15744336891639
2023-07-26 14:07:28.737,3935401,3935853,90.7231147460937,90.7271147867839,92.6889608968099,92.6929609375,-5.201,0.944,6.145,6.10066641373565
2023-07-26 14:07:28.750,3935404,3935856,90.7361588134766,90.7401588541667,92.7020046386719,92.7060047200521,-5.213,0.956,6.169,6.12657377335052
2023-07-26 14:07:28.763,3935407,3935859,90.7492029215495,90.7532029622396,92.7150487467448,92.7190487874349,-5.215,1.018,6.233,6.19906486673818
2023-07-26 14:07:28.776,3935410,3935862,90.7622469482422,90.7662469482422,92.7280928141276,92.7320928955078,-5.201,0.93,6.131,6.10041301769755
2023-07-26 14:07:28.789,3935413,3935865,90.7752907307943,90.7792908121745,92.7411369222005,92.7451369628906,-5.215,0.956,6.171,6.13390893780259
2023-07-26 14:07:28.802,3935416,3935868,90.7883348388672,90.7923348795573,92.7541806640625,92.7581807454427,-5.239,0.943,6.182,6.14151473714112
2023-07-26 14:07:28.816,3935419,3935871,90.80137890625,90.8053789876302,92.7672247721354,92.7712248128255,-5.25,0.892,6.142,6.10242131580919
2023-07-26 14:07:28.829,3935422,3935874,90.8144227294922,90.8184227294922,92.7802688395182,92.7842689208984,-5.238,0.906,6.144,6.10315052920021
2023-07-26 14:07:28.842,3935425,3935877,90.8274667561849,90.8314668375651,92.7933129475911,92.7973129882812,-5.228,0.993,6.221,6.18181482402194
2023-07-26 14:07:28.854,3935428,3935880,90.8405108642578,90.8445109049479,92.8063566894531,92.8103567301432,-5.214,0.967,6.181,6.14736088280995
2023-07-26 14:07:28.867,3935431,3935883,90.8535549316406,90.8575550130208,92.819400797526,92.8234008382161,-5.201,0.965,6.166,6.1168050678972
2023-07-26 14:07:28.880,3935434,3935886,90.8665987141927,90.8705987548828,92.8324448649089,92.836444905599,-5.174,0.905,6.079,6.02844361719044
2023-07-26 14:07:28.893,3935437,3935889,90.8796427815755,90.8836428222656,92.8454889729818,92.8494890136719,-5.204,1.04,6.244,6.21060400990297
2023-07-26 14:07:28.906,3935440,3935892,90.8926868896484,90.8966869303385,92.8585327148438,92.8625327555338,-5.17,0.968,6.138,6.13221975131042
2023-07-26 14:07:28.924,3935443,3935895,90.9057309570313,90.9097309977214,92.8715767822266,92.8755768636068,-5.151,1.032,6.183,6.14992161596234
2023-07-26 14:07:28.937,3935447,3935899,90.9231227620443,90.9271228027344,92.8889689127604,92.8929689534505,-5.177,0.982,6.159,6.11960934741939
2023-07-26 14:07:28.950,3935450,3935902,90.9361668294271,90.9401668701172,92.9020126546224,92.9060127360026,-5.189,0.957,6.146,6.11101618923579
2023-07-26 14:07:28.963,3935453,3935905,90.9492109375,90.9532109781901,92.9150567626953,92.9190568033854,-5.201,0.906,6.107,6.07483602018237
2023-07-26 14:07:28.976,3935456,3935908,90.9622547607422,90.9662547607422,92.9281008300781,92.9321009114583,-5.226,0.957,6.183,6.14087591003178
2023-07-26 14:07:28.989,3935459,3935911,90.9752987467448,90.979298828125,92.941144938151,92.9451449788412,-5.226,0.968,6.194,6.15663769325898
2023-07-26 14:07:29.002,3935462,3935914,90.9883428548177,90.9923428955078,92.954188680013,92.9581887613932,-5.186,0.956,6.142,6.10713298787897
2023-07-26 14:07:29.015,3935465,3935917,91.0013869222005,91.0053870035807,92.9672327880859,92.971232828776,-5.188,1,6.188,6.14803251300899
2023-07-26 14:07:29.028,3935468,3935920,91.0144307047526,91.0184307454427,92.9802768554687,92.984276936849,-5.215,1.017,6.232,6.19852120580392
2023-07-26 14:07:29.042,3935471,3935923,91.0274747721354,91.0314748535156,92.9933209635417,92.9973210042318,-5.189,0.943,6.132,6.09719683935577
2023-07-26 14:07:29.055,3935474,3935926,91.0405188802083,91.0445189208984,93.0063647054036,93.0103647460937,-5.188,0.944,6.132,6.09733463401443
