Id,TimeStamp,X_mm_,Y_mm_,Z_mm_,Y_normalised
77,26.07.2023 14:16:48.560,-78.746361289,124.4851208032,24.3843503372,-0.514879196799853
78,26.07.2023 14:16:48.570,-78.745419913,124.4861761702,24.3843468232,-0.513823829800103
79,26.07.2023 14:16:48.580,-78.745419913,124.4861761702,24.3843468232,-0.513823829800103
80,26.07.2023 14:16:48.590,-78.745476911,124.4871745382,24.3843432882,-0.512825461799892
81,26.07.2023 14:16:48.600,-78.745476689,124.4871710102,24.3833432942,-0.512828989799885
82,26.07.2023 14:16:48.610,-78.744478315,124.4872280092,24.3833433152,-0.512771990799877
83,26.07.2023 14:16:48.620,-78.744535313,124.4882263772,24.3833397802,-0.511773622800149
84,26.07.2023 14:16:48.630,-78.744478315,124.4872280092,24.3833433152,-0.512771990799877
85,26.07.2023 14:16:48.640,-78.745476911,124.4871745382,24.3843432882,-0.512825461799892
86,26.07.2023 14:16:48.650,-78.7474736590001,124.4870605402,24.3843432462,-0.512939459799895
87,26.07.2023 14:16:48.660,-78.747416661,124.4860621722,24.3843467812,-0.513937827800106
88,26.07.2023 14:16:48.670,-78.7464185089999,124.4861226992,24.3853467962,-0.51387730080009
89,26.07.2023 14:16:48.680,-78.7473598850001,124.4850673322,24.3853503102,-0.514932667799854
90,26.07.2023 14:16:48.690,-78.7473598850001,124.4850673322,24.3853503102,-0.514932667799854
91,26.07.2023 14:16:48.700,-78.7464185089999,124.4861226992,24.3853467962,-0.51387730080009
92,26.07.2023 14:16:48.710,-78.7464187309999,124.4861262272,24.3863467902,-0.513873772800096
93,26.07.2023 14:16:48.720,-78.744478759,124.4872350652,24.3853433032,-0.512764934799876
94,26.07.2023 14:16:48.730,-78.745477133,124.4871780662,24.3853432822,-0.512821933799884
95,26.07.2023 14:16:48.740,-78.746475285,124.4871175392,24.3843432672,-0.512882460799887
96,26.07.2023 14:16:48.750,-78.746475507,124.4871210672,24.3853432612,-0.512878932799879
97,26.07.2023 14:16:48.760,-78.746475729,124.4871245952,24.3863432552,-0.512875404799885
98,26.07.2023 14:16:48.770,-78.747474103,124.4870675962,24.3863432342,-0.512932403799894
99,26.07.2023 14:16:48.780,-78.747473881,124.4870640682,24.3853432402,-0.512935931799888
100,26.07.2023 14:16:48.790,-78.747416883,124.4860657002,24.3853467752,-0.513934299800098
101,26.07.2023 14:16:48.800,-78.748415257,124.4860087012,24.3853467542,-0.513991298800093
102,26.07.2023 14:16:48.810,-78.748415257,124.4860087012,24.3853467542,-0.513991298800093
103,26.07.2023 14:16:48.820,-78.748358037,124.4850068052,24.3843502952,-0.514993194799857
104,26.07.2023 14:16:48.830,-78.749355967,124.4849427502,24.3823502862,-0.515057249799852
105,26.07.2023 14:16:48.840,-78.749356189,124.4849462782,24.3833502802,-0.515053721799845
106,26.07.2023 14:16:48.850,-78.748357593,124.4849997492,24.3823503072,-0.515000250799858
107,26.07.2023 14:16:48.860,-78.749412965,124.4859411182,24.3823467512,-0.514058881800096
108,26.07.2023 14:16:48.870,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
109,26.07.2023 14:16:48.880,-78.750411783,124.4858911752,24.3843467182,-0.51410882480009
110,26.07.2023 14:16:48.890,-78.7514103789999,124.4858377042,24.3853466912,-0.514162295800091
111,26.07.2023 14:16:48.900,-78.7514103789999,124.4858377042,24.3853466912,-0.514162295800091
112,26.07.2023 14:16:48.910,-78.7514103789999,124.4858377042,24.3853466912,-0.514162295800091
113,26.07.2023 14:16:48.920,-78.752351755,124.4847823372,24.3853502052,-0.515217662799856
114,26.07.2023 14:16:48.930,-78.751353159,124.4848358082,24.3843502322,-0.515164191799855
115,26.07.2023 14:16:48.940,-78.751353381,124.4848393362,24.3853502262,-0.515160663799847
116,26.07.2023 14:16:48.950,-78.750411783,124.4858911752,24.3843467182,-0.51410882480009
117,26.07.2023 14:16:48.960,-78.750411561,124.4858876472,24.3833467242,-0.514112352800083
118,26.07.2023 14:16:48.970,-78.750412005,124.4858947032,24.3853467122,-0.514105296800082
119,26.07.2023 14:16:48.980,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
120,26.07.2023 14:16:48.990,-78.750412005,124.4858947032,24.3853467122,-0.514105296800082
121,26.07.2023 14:16:49.000,-78.749413631,124.4859517022,24.3853467332,-0.514048297800088
122,26.07.2023 14:16:49.010,-78.750412227,124.4858982312,24.3863467062,-0.514101768800089
123,26.07.2023 14:16:49.020,-78.750355229,124.4848998632,24.3863502412,-0.515100136799845
124,26.07.2023 14:16:49.030,-78.749356633,124.4849533342,24.3853502682,-0.515046665799844
125,26.07.2023 14:16:49.040,-78.749356855,124.4849568622,24.3863502622,-0.51504313779985
126,26.07.2023 14:16:49.050,-78.748415479,124.4860122292,24.3863467482,-0.513987770800099
127,26.07.2023 14:16:49.060,-78.748415479,124.4860122292,24.3863467482,-0.513987770800099
128,26.07.2023 14:16:49.070,-78.748472477,124.4870105972,24.3863432132,-0.512989402799889
129,26.07.2023 14:16:49.080,-78.748472255,124.4870070692,24.3853432192,-0.512992930799882
130,26.07.2023 14:16:49.090,-78.748472699,124.4870141252,24.3873432072,-0.512985874799895
131,26.07.2023 14:16:49.100,-78.747474103,124.4870675962,24.3863432342,-0.512932403799894
132,26.07.2023 14:16:49.110,-78.747474103,124.4870675962,24.3863432342,-0.512932403799894
133,26.07.2023 14:16:49.120,-78.748472477,124.4870105972,24.3863432132,-0.512989402799889
134,26.07.2023 14:16:49.130,-78.749413853,124.4859552302,24.3863467272,-0.514044769800094
135,26.07.2023 14:16:49.140,-78.749357077,124.4849603902,24.3873502562,-0.515039609799857
136,26.07.2023 14:16:49.150,-78.750355229,124.4848998632,24.3863502412,-0.515100136799845
137,26.07.2023 14:16:49.160,-78.750298009,124.4838979672,24.3853537822,-0.516102032800049
138,26.07.2023 14:16:49.170,-78.750298009,124.4838979672,24.3853537822,-0.516102032800049
139,26.07.2023 14:16:49.180,-78.750354785,124.4848928072,24.3843502532,-0.515107192799846
140,26.07.2023 14:16:49.190,-78.749412965,124.4859411182,24.3823467512,-0.514058881800096
141,26.07.2023 14:16:49.200,-78.749470185,124.4869430142,24.3833432102,-0.513056985799878
142,26.07.2023 14:16:49.210,-78.748528587,124.4879948532,24.3823397022,-0.512005146800163
143,26.07.2023 14:16:49.220,-78.749470185,124.4869430142,24.3833432102,-0.513056985799878
144,26.07.2023 14:16:49.230,-78.751466711,124.4868254882,24.3823431742,-0.513174511799889
145,26.07.2023 14:16:49.240,-78.753406461,124.4857131222,24.3823466672,-0.514286877800103
146,26.07.2023 14:16:49.250,-78.753292687,124.4837199142,24.3833537312,-0.516280085800062
147,26.07.2023 14:16:49.260,-78.754234063,124.4826645472,24.3833572452,-0.517335452800239
148,26.07.2023 14:16:49.270,-78.754234285,124.4826680752,24.3843572392,-0.517331924800246
149,26.07.2023 14:16:49.280,-78.754291061,124.4836629152,24.3833537102,-0.516337084800057
150,26.07.2023 14:16:49.290,-78.754291061,124.4836629152,24.3833537102,-0.516337084800057
151,26.07.2023 14:16:49.300,-78.753292465,124.4837163862,24.3823537372,-0.51628361380007
152,26.07.2023 14:16:49.310,-78.753292465,124.4837163862,24.3823537372,-0.51628361380007
153,26.07.2023 14:16:49.320,-78.751352271,124.4848216962,24.3803502562,-0.515178303799857
154,26.07.2023 14:16:49.330,-78.752407865,124.4857665932,24.3813466942,-0.514233406800102
155,26.07.2023 14:16:49.340,-78.753406017,124.4857060662,24.3803466792,-0.514293933800104
156,26.07.2023 14:16:49.350,-78.753349241,124.4847112262,24.3813502082,-0.515288773799853
157,26.07.2023 14:16:49.360,-78.753349019,124.4847076982,24.3803502142,-0.51529230179986
158,26.07.2023 14:16:49.370,-78.754290617,124.4836558592,24.3813537222,-0.516344140800058
159,26.07.2023 14:16:49.380,-78.753349241,124.4847112262,24.3813502082,-0.515288773799853
160,26.07.2023 14:16:49.390,-78.754290617,124.4836558592,24.3813537222,-0.516344140800058
161,26.07.2023 14:16:49.400,-78.755288991,124.4835988602,24.3813537012,-0.516401139800053
162,26.07.2023 14:16:49.410,-78.755288769,124.4835953322,24.3803537072,-0.51640466780006
163,26.07.2023 14:16:49.420,-78.755288991,124.4835988602,24.3813537012,-0.516401139800053
164,26.07.2023 14:16:49.430,-78.755288769,124.4835953322,24.3803537072,-0.51640466780006
