Id,TimeStamp,X_mm_,Y_mm_,Z_mm_,Y_normalised
1,26.07.2023 13:20:44.610,-78.692595345,199.4753842032,24.0497903352,-0.52461579679985
2,26.07.2023 13:20:44.620,-78.6936507169999,199.4763255722,24.0497867792,-0.523674427800131
3,26.07.2023 13:20:44.630,-78.6936507169999,199.4763255722,24.0497867792,-0.523674427800131
4,26.07.2023 13:20:44.640,-78.691653969,199.4764395702,24.0497868212,-0.523560429800142
5,26.07.2023 13:20:44.650,-78.692652121,199.4763790432,24.0487868062,-0.523620956800102
6,26.07.2023 13:20:44.660,-78.691653747,199.4764360422,24.0487868272,-0.523563957800121
7,26.07.2023 13:20:44.670,-78.692595123,199.4753806752,24.0487903412,-0.524619324799829
8,26.07.2023 13:20:44.680,-78.692652121,199.4763790432,24.0487868062,-0.523620956800102
9,26.07.2023 13:20:44.690,-78.6945920929999,199.4752702052,24.0497902932,-0.524729794799867
10,26.07.2023 13:20:44.700,-78.6945350949999,199.4742718372,24.0497938282,-0.525728162800078
11,26.07.2023 13:20:44.710,-78.6935937189999,199.4753272042,24.0497903142,-0.524672795799859
12,26.07.2023 13:20:44.720,-78.692595345,199.4753842032,24.0497903352,-0.52461579679985
13,26.07.2023 13:20:44.730,-78.693593497,199.4753236762,24.0487903202,-0.524676323799838
14,26.07.2023 13:20:44.740,-78.692652121,199.4763790432,24.0487868062,-0.523620956800102
15,26.07.2023 13:20:44.750,-78.692652121,199.4763790432,24.0487868062,-0.523620956800102
16,26.07.2023 13:20:44.760,-78.691653525,199.4764325142,24.0477868332,-0.523567485800129
17,26.07.2023 13:20:44.770,-78.692651899,199.4763755152,24.0477868122,-0.523624484800109
18,26.07.2023 13:20:44.780,-78.692652121,199.4763790432,24.0487868062,-0.523620956800102
19,26.07.2023 13:20:44.790,-78.692651677,199.4763719872,24.0467868182,-0.523628012800117
20,26.07.2023 13:20:44.800,-78.693593275,199.4753201482,24.0477903262,-0.524679851799846
21,26.07.2023 13:20:44.810,-78.693593275,199.4753201482,24.0477903262,-0.524679851799846
22,26.07.2023 13:20:44.820,-78.693593275,199.4753201482,24.0477903262,-0.524679851799846
23,26.07.2023 13:20:44.830,-78.692594679,199.4753736192,24.0467903532,-0.524626380799845
24,26.07.2023 13:20:44.840,-78.692651899,199.4763755152,24.0477868122,-0.523624484800109
25,26.07.2023 13:20:44.850,-78.692651677,199.4763719872,24.0467868182,-0.523628012800117
26,26.07.2023 13:20:44.860,-78.692651899,199.4763755152,24.0477868122,-0.523624484800109
27,26.07.2023 13:20:44.870,-78.692651677,199.4763719872,24.0467868182,-0.523628012800117
28,26.07.2023 13:20:44.880,-78.692594457,199.4753700912,24.0457903592,-0.524629908799824
29,26.07.2023 13:20:44.890,-78.6926512329999,199.4763649312,24.0447868302,-0.523635068800104
30,26.07.2023 13:20:44.900,-78.692594013,199.4753630352,24.0437903712,-0.524636964799839
31,26.07.2023 13:20:44.910,-78.6935353889999,199.4743076682,24.0437938852,-0.525692331800059
32,26.07.2023 13:20:44.920,-78.6945339849999,199.4742541972,24.0447938582,-0.52574580280006
33,26.07.2023 13:20:44.930,-78.692537237,199.4743681952,24.0447939002,-0.525631804800042
34,26.07.2023 13:20:44.940,-78.6945339849999,199.4742541972,24.0447938582,-0.52574580280006
35,26.07.2023 13:20:44.950,-78.6945909829999,199.4752525652,24.0447903232,-0.524747434799849
