Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1
2023-07-26 14:11:40.391,3993210,3993661,86.3758217366536,86.3798217773438,88.3414259033203,88.3454259847005,-4.994,0.991,5.985,5.9596212369706
2023-07-26 14:11:40.400,3993212,3993663,86.3845177815755,86.3885178222656,88.3501218261719,88.3541218261719,-5.007,1.117,6.124,6.10282246158741
2023-07-26 14:11:40.408,3993214,3993665,86.3932138264974,86.3972139078776,88.3588177083333,88.3628177490234,-5.012,1.143,6.155,6.12235062900595
2023-07-26 14:11:40.417,3993216,3993667,86.4019099121094,86.4059099527995,88.3675137532552,88.3715137939453,-5.013,1.07,6.083,6.04754175047317
2023-07-26 14:11:40.426,3993218,3993669,86.4106059570313,86.4146059977214,88.3762097981771,88.3802098795573,-4.988,1.106,6.094,6.05246653117839
2023-07-26 14:11:40.439,3993220,3993671,86.4193016764323,86.4233017578125,88.3849058837891,88.3889059244792,-5.014,1.119,6.133,6.09453800026168
2023-07-26 14:11:40.452,3993223,3993674,86.4323457845052,86.4363458251953,88.3979499511719,88.4019499511719,-5.038,1.092,6.13,6.09670196451247
2023-07-26 14:11:40.461,3993226,3993677,86.445389851888,86.4493899332682,88.410993733724,88.4149937744141,-5.012,1.066,6.078,6.04859469143079
2023-07-26 14:11:40.470,3993228,3993679,86.4540859375,86.4580859781901,88.4196897786458,88.4236898193359,-5.076,1.027,6.103,6.08549344604718
2023-07-26 14:11:40.482,3993230,3993681,86.4627819824219,86.466782023112,88.4283858235677,88.4323859049479,-5.036,1.14,6.176,6.15044510940831
2023-07-26 14:11:40.491,3993233,3993684,86.4758257242839,86.4798258056641,88.4414299316406,88.4454299723307,-5.064,1.192,6.256,6.21901066475439
2023-07-26 14:11:40.500,3993235,3993686,86.4845218098958,86.4885218505859,88.4501257324219,88.4541257324219,-5.075,1.144,6.219,6.1804727843704
2023-07-26 14:11:40.509,3993237,3993688,86.4932178548177,86.4972178955078,88.4588216959635,88.4628217773437,-5.05,1.157,6.207,6.16589966498521
2023-07-26 14:11:40.518,3993239,3993690,86.5019138997396,86.5059139811198,88.4675177815755,88.4715178222656,-5.037,1.18,6.217,6.17591743553072
2023-07-26 14:11:40.526,3993241,3993692,86.5106099853516,86.5146100260417,88.4762138264974,88.4802138671875,-5.039,1.154,6.193,6.15482911385682
2023-07-26 14:11:40.536,3993243,3993694,86.5193057047526,86.5233057454427,88.4849098714193,88.4889099527995,-5.011,1.167,6.178,6.14098725804075
2023-07-26 14:11:40.544,3993245,3993696,86.5280017496745,86.5320017903646,88.4936059570312,88.4976059977214,-5.008,1.167,6.175,6.13955012879
2023-07-26 14:11:40.553,3993247,3993698,86.536708211263,86.5407082926432,88.5023016764323,88.5063017171224,-5.037,1.13,6.167,6.1312527500425
2023-07-26 14:11:40.562,3993249,3993700,86.5453938802083,86.5493939208984,88.5109977213542,88.5149977620443,-5.051,1.231,6.282,6.24331690405781
2023-07-26 14:11:40.570,3993251,3993702,86.5540899251302,86.5580899658203,88.519693766276,88.5236938476562,-5.077,1.217,6.294,6.25338375274692
2023-07-26 14:11:40.578,3993253,3993704,86.5627859700521,86.5667860107422,88.528389851888,88.5323898925781,-5.064,1.179,6.243,6.20182389000064
2023-07-26 14:11:40.592,3993255,3993706,86.5714817301432,86.5754817708333,88.5370858968099,88.5410859375,-5.05,1.178,6.228,6.1830800387604
2023-07-26 14:11:40.600,3993258,3993709,86.584525797526,86.5885258382161,88.5501296386719,88.5541297200521,-5.025,1.015,6.04,5.99005728771885
2023-07-26 14:11:40.609,3993260,3993711,86.5932218424479,86.5972219238281,88.5588257242839,88.562825764974,-5.014,1.242,6.256,6.2146269852602
