Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft,TapeEdgeRight,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
2023-07-26 13:39:10.345,3545140,3545592,56.3703538004557,56.3743538411458,58.3374219156901,58.3414219563802,-2.691,3.586,6.277,6.27724095443213
2023-07-26 13:39:10.358,3545143,3545595,56.3833978678385,56.3873979492188,58.3504656575521,58.3544656982422,-2.705,3.573,6.278,6.27824091605284
2023-07-26 13:39:10.371,3545146,3545598,56.3964419759115,56.4004420166016,58.363509765625,58.3675098063151,-2.717,3.547,6.264,6.26411526075311
2023-07-26 13:39:10.384,3545149,3545601,56.4094857177734,56.4134857584635,58.3765538330078,58.3805538736979,-2.704,3.572,6.276,6.27630623854509
2023-07-26 13:39:10.397,3545152,3545604,56.4225298258464,56.4265298665365,58.3895979410807,58.3935979817708,-2.703,3.586,6.289,6.28910303620477
2023-07-26 13:39:10.410,3545155,3545607,56.4355738932292,56.4395739339193,58.4026416829427,58.4066417236328,-2.653,3.623,6.276,6.27610324962871
2023-07-26 13:39:10.423,3545158,3545610,56.4486180013021,56.4526180419922,58.4156857503255,58.4196858317057,-2.666,3.586,6.252,6.25218425832125
2023-07-26 13:39:10.436,3545161,3545613,56.4616617431641,56.4656617838542,58.4287298583984,58.4327298990885,-2.665,3.535,6.2,6.20009878953553
2023-07-26 13:39:10.449,3545164,3545616,56.4747058105469,56.4787058919271,58.4417739257812,58.4457740071615,-2.64,3.56,6.2,6.20014225643251
2023-07-26 13:39:10.462,3545167,3545619,56.4877603352865,56.4917603759766,58.4548177083333,58.4588177490234,-2.678,3.521,6.199,6.19928076473392
2023-07-26 13:39:10.475,3545170,3545622,56.5007938232422,56.5047938232422,58.4678617757161,58.4718618570964,-2.69,3.496,6.186,6.18611065209797
2023-07-26 13:39:10.488,3545173,3545625,56.5138377685547,56.5178378092448,58.4809058837891,58.4849059244792,-2.64,3.547,6.187,6.18721019523339
2023-07-26 13:39:10.501,3545176,3545628,56.5268818359375,56.5308819173177,58.4939499511719,58.4979499511719,-2.652,3.521,6.173,6.17313615595833
2023-07-26 13:39:10.515,3545179,3545631,56.5399259440104,56.5439259847005,58.506993733724,58.5109937744141,-2.665,3.546,6.211,6.21120125257587
2023-07-26 13:39:10.528,3545182,3545634,56.5529696858724,56.5569697265625,58.5200378011068,58.5240378417969,-2.678,3.586,6.264,6.26415453193805
2023-07-26 13:39:10.541,3545185,3545637,56.5660137939453,56.5700138346354,58.5330819091797,58.5370819498698,-2.728,3.572,6.3,6.30028570780723
2023-07-26 13:39:10.554,3545188,3545640,56.5790578613281,56.5830579020182,58.5461257324219,58.5501257324219,-2.654,3.611,6.265,6.26531675176922
2023-07-26 13:39:10.567,3545191,3545643,56.592101969401,56.5961020100911,58.5591697184245,58.5631697998047,-2.589,3.61,6.199,6.1990678331504
2023-07-26 13:39:10.580,3545194,3545646,56.6051561279297,56.6091561686198,58.5722138264974,58.5762138671875,-2.589,3.611,6.2,6.20009878953553
2023-07-26 13:39:10.593,3545197,3545649,56.6181897786458,56.622189860026,58.5852578938802,58.5892579752604,-2.564,3.61,6.174,6.17438555647442
