Time,X_mm,TapeWidth_Arc1,Weights,TapeWidth1
07/26/2023 13:22:18.690,106.810299662504,6.16248181350806,1.00134676703237,6.188
07/26/2023 13:22:18.699,108.604971050745,6.15250453306757,0.99877796734401,6.176
07/26/2023 13:22:18.708,110.396833446483,6.02890055506617,0.996379409149016,6.052
07/26/2023 13:22:18.717,112.183449132173,6.06262872081921,0.994171851041652,6.088
07/26/2023 13:22:18.724,113.771630773874,6.01686641201429,1.00172766812631,6.052
07/26/2023 13:22:18.733,115.565405309584,6.03612174503292,1.01002347532241,6.076
07/26/2023 13:22:18.742,117.377387313757,6.04822096577938,1.00780354099319,6.088
07/26/2023 13:22:18.750,118.986606793911,5.98725225382068,1.00229381719539,6.023
07/26/2023 13:22:18.759,120.784977187809,6.13603288892079,1.00087451113838,6.16
07/26/2023 13:22:18.768,122.58055031987,6.10479131378252,0.997890663411869,6.137
07/26/2023 13:22:18.777,124.371843823204,6.06957428800632,1.00280630614456,6.104
07/26/2023 13:22:18.785,125.969312964456,6.09309444695129,1.00259981066037,6.132
07/26/2023 13:22:18.794,127.768230994077,6.13067870414582,1.00301380743541,6.168
07/26/2023 13:22:18.803,129.569272816483,6.06451141088892,1.00129730627797,6.103
07/26/2023 13:22:18.812,131.364832340415,6.10503961116568,0.996159836338622,6.139
07/26/2023 13:22:18.821,133.150697768217,6.09553304698283,0.998787062836671,6.129
07/26/2023 13:22:18.829,134.743630036709,6.12291633125791,1.00099521048549,6.152
07/26/2023 13:22:18.838,136.53919449011,6.11940542354816,1.00543972553678,6.152
07/26/2023 13:22:18.846,138.142384499762,6.13093046791844,1.0042584776942,6.166
07/26/2023 13:22:18.855,139.944426778541,6.0695622549438,1.0053211465954,6.106
07/26/2023 13:22:18.864,141.747434151913,6.05304223646371,1.0034778317398,6.09
07/26/2023 13:22:18.873,143.54854301409,6.06618426559426,1.00092798751121,6.104
07/26/2023 13:22:18.881,145.14335828707,6.09369030017103,1.00397640129117,6.128
07/26/2023 13:22:18.890,146.944577003709,6.11477877771229,1.003631926483,6.154
07/26/2023 13:22:18.899,148.744969965765,6.06500954263133,1.00505113297302,6.099
07/26/2023 13:22:18.908,150.547208102191,6.08146753130984,1.00087274935865,6.111
07/26/2023 13:22:18.916,152.144337576321,6.06682947984241,0.999460214247848,6.1
07/26/2023 13:22:18.925,153.937437944375,6.13085065949909,1.0014690732652,6.167
07/26/2023 13:22:18.934,155.733648150147,6.10812265783745,0.998546017531215,6.14
07/26/2023 13:22:18.943,157.525616351116,6.08166157602794,0.99285010322948,6.127
07/26/2023 13:22:18.951,159.108807087338,6.10601822123065,0.995455288579324,6.152
07/26/2023 13:22:18.960,160.893738585239,5.94088447850964,0.999974500937659,5.986
07/26/2023 13:22:18.969,162.687556391981,6.14347371691187,1.00341436497565,6.178
07/26/2023 13:22:18.977,164.287471643329,6.15925787322079,0.996247089398414,6.195
07/26/2023 13:22:18.986,166.075356245905,6.02883713204622,1.0011223185756,6.056
07/26/2023 13:22:18.995,167.870539067279,6.27226166667624,1.00102862915443,6.303
07/26/2023 13:22:19.004,169.666405424211,6.23136285620146,1.00189213692961,6.27
07/26/2023 13:22:19.013,171.46285073944,6.21617373763058,1.0084717456152,6.256
07/26/2023 13:22:19.020,173.072787649119,6.13417959906664,1.00339424574605,6.179
07/26/2023 13:22:19.029,174.873897188595,6.16032102193162,0.99826386052502,6.204
07/26/2023 13:22:19.038,176.666184297524,6.16175116709023,0.990553360864794,6.205
07/26/2023 13:22:19.047,178.442237022392,6.13863472554374,0.993848704635359,6.181
07/26/2023 13:22:19.059,180.819760984821,6.09519454612776,1.004261905551,6.129
07/26/2023 13:22:19.068,182.621380498359,6.09129893741155,1.00348242404051,6.127
07/26/2023 13:22:19.077,184.421652630446,6.03088720071336,0.996227016753213,6.064
07/26/2023 13:22:19.086,186.20850207797,6.05647123371846,0.991757005013099,6.088
07/26/2023 13:22:19.094,187.791226476874,6.00129922730088,0.992308948476403,6.038
07/26/2023 13:22:19.103,189.571035186284,6.0520658269483,0.996404084355739,6.09
07/26/2023 13:22:19.112,191.359223612528,6.07283057149331,1.00143373077892,6.113
07/26/2023 13:22:19.121,193.152837656621,6.04094458879673,1.00440179670399,6.077
07/26/2023 13:22:19.130,194.956419698534,6.02303708807982,1.0006559951545,6.05
07/26/2023 13:22:19.138,196.552542828796,5.96431964918373,0.99526704353171,6.001
07/26/2023 13:22:19.151,199.132081993301,5.972916659027,0.998849797952509,6.013
07/26/2023 13:22:19.160,200.921812176434,6.03862084304166,1.00636442920194,6.074
07/26/2023 13:22:19.169,202.727502072995,5.91558019770128,1.00185028306933,5.944
07/26/2023 13:22:19.181,205.125792942946,6.01500813075786,1.00438228466625,6.048
07/26/2023 13:22:19.190,206.928910973492,5.94251369116933,0.997506769580674,5.976
07/26/2023 13:22:19.203,209.515583388172,5.93985725218373,0.998501357615741,5.975
07/26/2023 13:22:19.212,211.298897946438,5.935191543573,0.992564780970596,5.973
07/26/2023 13:22:19.221,213.1048588292,5.93481928313798,0.994796530971871,5.972
07/26/2023 13:22:19.230,214.907828576838,5.98662992314958,0.997845233194169,6.021
07/26/2023 13:22:19.242,217.361605447131,6.02658936195499,0.995350186265659,6.059
07/26/2023 13:22:19.251,219.139489567831,6.16986285996178,0.99698565990518,6.201
07/26/2023 13:22:19.260,220.988434450807,6.10182397547523,0.999860925308005,6.138
07/26/2023 13:22:19.269,222.792363288569,6.07690829547936,0.996889259840017,6.114
07/26/2023 13:22:19.282,225.250660433997,6.11919908759278,0.993808438291493,6.154
