Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft,TapeEdgeRight,Gap,Gap_Rotated
2023-07-26 15:42:19.895,5241189,5241639,10.1963049316406,10.2003050130208,12.1593916829427,12.1633917236328,3.487,10.072,6.585,6.58620535665265
2023-07-26 15:42:19.904,5241191,5241641,10.2050008544922,10.2090008544922,12.1680877278646,12.1720878092448,3.498,10.11,6.612,6.613017465575
2023-07-26 15:42:19.912,5241193,5241643,10.2136967366536,10.2176967773438,12.1767838134766,12.1807838541667,3.499,10.123,6.624,6.62516052635708
2023-07-26 15:42:19.921,5241195,5241645,10.2223927815755,10.2263928222656,12.1854798583984,12.1894798990885,3.473,10.101,6.628,6.6287097537907
2023-07-26 15:42:19.930,5241197,5241647,10.2310888264974,10.2350889078776,12.1941759033203,12.1981759847005,3.449,10.075,6.626,6.62698060959892
2023-07-26 15:42:19.938,5241199,5241649,10.2397849121094,10.2437849527995,12.2028718261719,12.2068718261719,3.423,10.049,6.626,6.62714154066442
2023-07-26 15:42:19.947,5241201,5241651,10.2484809570312,10.2524809977214,12.2115677083333,12.2155677490234,3.437,10.059,6.622,6.62363140580754
2023-07-26 15:42:19.956,5241203,5241653,10.2571766764323,10.2611767578125,12.2202637532552,12.2242637939453,3.422,10.058,6.636,6.63704904306123
2023-07-26 15:42:19.964,5241205,5241655,10.2658727620443,10.2698728027344,12.2289597981771,12.2329598795573,3.422,10.057,6.635,6.63613999249564
2023-07-26 15:42:19.973,5241207,5241657,10.2745688069661,10.2785688476562,12.2376558837891,12.2416559244792,3.435,10.044,6.609,6.61048266013912
2023-07-26 15:42:19.982,5241209,5241659,10.283264851888,10.2872649332682,12.2463519287109,12.250351969401,3.448,10.069,6.621,6.62283753386719
2023-07-26 15:42:19.991,5241211,5241661,10.2919609375,10.2959609781901,12.255047648112,12.2590477294922,3.473,10.081,6.608,6.60954711005225
2023-07-26 15:42:19.999,5241213,5241663,10.3006569824219,10.304657023112,12.263743733724,12.2677437744141,3.472,10.08,6.608,6.60937886642913
2023-07-26 15:42:20.008,5241215,5241665,10.3093527018229,10.313352742513,12.2724397786458,12.2764398193359,3.447,10.044,6.597,6.59812799208988
2023-07-26 15:42:20.016,5241217,5241667,10.3180487467448,10.322048828125,12.2811358235677,12.2851359049479,3.422,10.02,6.598,6.59936057508604
2023-07-26 15:42:20.026,5241219,5241669,10.3267448323568,10.3307448730469,12.2898319091797,12.2938319498698,3.422,10.007,6.585,6.58636326055586
2023-07-26 15:42:20.034,5241221,5241671,10.3354408772786,10.3394409179687,12.2985279541016,12.3025279947917,3.422,10.022,6.6,6.60112747945379
2023-07-26 15:42:20.043,5241223,5241673,10.3441369222005,10.3481370035807,12.3072236735026,12.3112237141927,3.423,10.011,6.588,6.58898626497279
2023-07-26 15:42:20.052,5241225,5241675,10.3528328857422,10.3568328857422,12.3159197184245,12.3199197998047,3.422,9.997,6.575,6.57613176571151
2023-07-26 15:42:20.065,5241227,5241677,10.3615287272135,10.3655287679036,12.3246158040365,12.3286158447266,3.41,9.999,6.589,6.58968481795602
2023-07-26 15:42:20.073,5241230,5241680,10.374583211263,10.3785832926432,12.3376598714193,12.3416599527995,3.41,9.973,6.563,6.56374664349562
2023-07-26 15:42:20.081,5241232,5241682,10.3832688802083,10.3872689208984,12.3463559570312,12.3503559977214,3.396,9.958,6.562,6.56290522558417
2023-07-26 15:42:20.091,5241234,5241684,10.3919649251302,10.3959649658203,12.3550516764323,12.3590517171224,3.371,9.946,6.575,6.57588693637596
