Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
1,26.07.2023 16:04:56.310,-78.507288331,487.1852229952,23.1287693802
2,26.07.2023 16:04:56.320,-78.5063469549999,487.1862783622,23.1287658662
3,26.07.2023 16:04:56.330,-78.5063471769999,487.1862818902,23.1297658602
4,26.07.2023 16:04:56.340,-78.507345329,487.1862213632,23.1287658452
5,26.07.2023 16:04:56.350,-78.507288553,487.1852265232,23.1297693742
6,26.07.2023 16:04:56.360,-78.508286705,487.1851659962,23.1287693592
7,26.07.2023 16:04:56.370,-78.508229485,487.1841641002,23.1277729002
8,26.07.2023 16:04:56.380,-78.508229707,487.1841676282,23.1287728942
9,26.07.2023 16:04:56.390,-78.508229485,487.1841641002,23.1277729002
10,26.07.2023 16:04:56.400,-78.508172487,487.1831657322,23.1277764352
11,26.07.2023 16:04:56.410,-78.508229707,487.1841676282,23.1287728942
12,26.07.2023 16:04:56.420,-78.507231111,487.1842210992,23.1277729212
13,26.07.2023 16:04:56.430,-78.507288331,487.1852229952,23.1287693802
14,26.07.2023 16:04:56.440,-78.507288331,487.1852229952,23.1287693802
15,26.07.2023 16:04:56.450,-78.507288331,487.1852229952,23.1287693802
16,26.07.2023 16:04:56.460,-78.5062897349999,487.1852764662,23.1277694072
17,26.07.2023 16:04:56.470,-78.505348359,487.1863318332,23.1277658932
18,26.07.2023 16:04:56.480,-78.5062897349999,487.1852764662,23.1277694072
19,26.07.2023 16:04:56.490,-78.507287887,487.1852159392,23.1267693922
20,26.07.2023 16:04:56.500,-78.508229485,487.1841641002,23.1277729002
21,26.07.2023 16:04:56.510,-78.508229485,487.1841641002,23.1277729002
22,26.07.2023 16:04:56.520,-78.507231111,487.1842210992,23.1277729212
23,26.07.2023 16:04:56.530,-78.507231555,487.1842281552,23.1297729092
24,26.07.2023 16:04:56.540,-78.508229929,487.1841711562,23.1297728882
25,26.07.2023 16:04:56.550,-78.508229929,487.1841711562,23.1297728882
26,26.07.2023 16:04:56.560,-78.509228303,487.1841141572,23.1297728672
27,26.07.2023 16:04:56.570,-78.509227859,487.1841071012,23.1277728792
28,26.07.2023 16:04:56.580,-78.508229485,487.1841641002,23.1277729002
29,26.07.2023 16:04:56.590,-78.507230889,487.1842175712,23.1267729272
30,26.07.2023 16:04:56.600,-78.5062892909999,487.1852694102,23.1257694192
31,26.07.2023 16:04:56.610,-78.507287887,487.1852159392,23.1267693922
32,26.07.2023 16:04:56.620,-78.5062895129999,487.1852729382,23.1267694132
33,26.07.2023 16:04:56.630,-78.507288109,487.1852194672,23.1277693862
34,26.07.2023 16:04:56.640,-78.5062897349999,487.1852764662,23.1277694072
35,26.07.2023 16:04:56.650,-78.507288553,487.1852265232,23.1297693742
36,26.07.2023 16:04:56.660,-78.508286705,487.1851659962,23.1287693592
37,26.07.2023 16:04:56.670,-78.508229707,487.1841676282,23.1287728942
38,26.07.2023 16:04:56.680,-78.510226455,487.1840536302,23.1287728522
39,26.07.2023 16:04:56.690,-78.509170639,487.1831052052,23.1267764202
40,26.07.2023 16:04:56.700,-78.509170639,487.1831052052,23.1267764202
41,26.07.2023 16:04:56.710,-78.507173891,487.1832192032,23.1267764622
42,26.07.2023 16:04:56.720,-78.508229263,487.1841605722,23.1267729062
43,26.07.2023 16:04:56.730,-78.507287887,487.1852159392,23.1267693922
44,26.07.2023 16:04:56.740,-78.5063465109999,487.1862713062,23.1267658782
45,26.07.2023 16:04:56.750,-78.507345107,487.1862178352,23.1277658512
46,26.07.2023 16:04:56.760,-78.507345107,487.1862178352,23.1277658512
47,26.07.2023 16:04:56.770,-78.508286705,487.1851659962,23.1287693592
48,26.07.2023 16:04:56.780,-78.507288109,487.1852194672,23.1277693862
49,26.07.2023 16:04:56.790,-78.508229485,487.1841641002,23.1277729002
50,26.07.2023 16:04:56.800,-78.508229707,487.1841676282,23.1287728942
51,26.07.2023 16:04:56.810,-78.509170861,487.1831087332,23.1277764142
52,26.07.2023 16:04:56.820,-78.508172265,487.1831622042,23.1267764412
53,26.07.2023 16:04:56.830,-78.509170417,487.1831016772,23.1257764262
54,26.07.2023 16:04:56.840,-78.508229485,487.1841641002,23.1277729002
55,26.07.2023 16:04:56.850,-78.508229485,487.1841641002,23.1277729002
56,26.07.2023 16:04:56.860,-78.508286705,487.1851659962,23.1287693592
57,26.07.2023 16:04:56.870,-78.508286705,487.1851659962,23.1287693592
58,26.07.2023 16:04:56.880,-78.507288331,487.1852229952,23.1287693802
59,26.07.2023 16:04:56.890,-78.507288109,487.1852194672,23.1277693862
60,26.07.2023 16:04:56.900,-78.507287887,487.1852159392,23.1267693922
61,26.07.2023 16:04:56.910,-78.508229485,487.1841641002,23.1277729002
62,26.07.2023 16:04:56.920,-78.509227859,487.1841071012,23.1277728792
63,26.07.2023 16:04:56.930,-78.508229263,487.1841605722,23.1267729062
64,26.07.2023 16:04:56.940,-78.508229485,487.1841641002,23.1277729002
65,26.07.2023 16:04:56.950,-78.508229041,487.1841570442,23.1257729122
66,26.07.2023 16:04:56.960,-78.507287887,487.1852159392,23.1267693922
67,26.07.2023 16:04:56.970,-78.508229485,487.1841641002,23.1277729002
68,26.07.2023 16:04:56.980,-78.507288331,487.1852229952,23.1287693802
69,26.07.2023 16:04:56.990,-78.507288109,487.1852194672,23.1277693862
70,26.07.2023 16:04:57.000,-78.507344663,487.1862107792,23.1257658632
71,26.07.2023 16:04:57.010,-78.508286483,487.1851624682,23.1277693652
72,26.07.2023 16:04:57.020,-78.508172487,487.1831657322,23.1277764352
73,26.07.2023 16:04:57.030,-78.507173891,487.1832192032,23.1267764622
74,26.07.2023 16:04:57.040,-78.508343037,487.1861537802,23.1257658422
75,26.07.2023 16:04:57.050,-78.507344885,487.1862143072,23.1267658572
76,26.07.2023 16:04:57.060,-78.508229485,487.1841641002,23.1277729002
77,26.07.2023 16:04:57.070,-78.507174113,487.1832227312,23.1277764562
78,26.07.2023 16:04:57.080,-78.507231111,487.1842210992,23.1277729212
79,26.07.2023 16:04:57.090,-78.507345329,487.1862213632,23.1287658452
80,26.07.2023 16:04:57.100,-78.507345107,487.1862178352,23.1277658512
81,26.07.2023 16:04:57.110,-78.508229485,487.1841641002,23.1277729002
82,26.07.2023 16:04:57.120,-78.508229485,487.1841641002,23.1277729002
83,26.07.2023 16:04:57.130,-78.507230667,487.1842140432,23.1257729332
84,26.07.2023 16:04:57.140,-78.508229041,487.1841570442,23.1257729122
85,26.07.2023 16:04:57.150,-78.507230667,487.1842140432,23.1257729332
86,26.07.2023 16:04:57.160,-78.507287887,487.1852159392,23.1267693922
87,26.07.2023 16:04:57.170,-78.508286261,487.1851589402,23.1267693712
88,26.07.2023 16:04:57.180,-78.507230889,487.1842175712,23.1267729272
89,26.07.2023 16:04:57.190,-78.5062327369999,487.1842780982,23.1277729422
90,26.07.2023 16:04:57.200,-78.507287887,487.1852159392,23.1267693922
91,26.07.2023 16:04:57.210,-78.507344885,487.1862143072,23.1267658572
92,26.07.2023 16:04:57.220,-78.508286261,487.1851589402,23.1267693712
93,26.07.2023 16:04:57.230,-78.508172487,487.1831657322,23.1277764352
94,26.07.2023 16:04:57.240,-78.508172265,487.1831622042,23.1267764412
95,26.07.2023 16:04:57.250,-78.508285817,487.1851518842,23.1247693832
96,26.07.2023 16:04:57.260,-78.507287665,487.1852124112,23.1257693982
97,26.07.2023 16:04:57.270,-78.507230889,487.1842175712,23.1267729272
98,26.07.2023 16:04:57.280,-78.507230667,487.1842140432,23.1257729332
99,26.07.2023 16:04:57.290,-78.505291361,487.1853334652,23.1277694282
