Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
35,26.07.2023 15:37:10.970,-78.6773703129999,187.0329354172,24.0466913482
36,26.07.2023 15:37:10.980,-78.6773130929999,187.0319335212,24.0456948892
37,26.07.2023 15:37:10.990,-78.6773133149999,187.0319370492,24.0466948832
38,26.07.2023 15:37:11.000,-78.6773128709999,187.0319299932,24.0446948952
39,26.07.2023 15:37:11.010,-78.6773130929999,187.0319335212,24.0456948892
40,26.07.2023 15:37:11.020,-78.6773130929999,187.0319335212,24.0456948892
41,26.07.2023 15:37:11.030,-78.6773128709999,187.0319299932,24.0446948952
42,26.07.2023 15:37:11.040,-78.6773130929999,187.0319335212,24.0456948892
43,26.07.2023 15:37:11.050,-78.678311689,187.0318800502,24.0466948622
44,26.07.2023 15:37:11.060,-78.6773135369999,187.0319405772,24.0476948772
45,26.07.2023 15:37:11.070,-78.678311467,187.0318765222,24.0456948682
46,26.07.2023 15:37:11.080,-78.679310063,187.0318230512,24.0466948412
47,26.07.2023 15:37:11.090,-78.6773130929999,187.0319335212,24.0456948892
48,26.07.2023 15:37:11.100,-78.6773130929999,187.0319335212,24.0456948892
49,26.07.2023 15:37:11.110,-78.6773130929999,187.0319335212,24.0456948892
50,26.07.2023 15:37:11.120,-78.6773128709999,187.0319299932,24.0446948952
51,26.07.2023 15:37:11.130,-78.6773130929999,187.0319335212,24.0456948892
52,26.07.2023 15:37:11.140,-78.6773128709999,187.0319299932,24.0446948952
53,26.07.2023 15:37:11.150,-78.6773130929999,187.0319335212,24.0456948892
54,26.07.2023 15:37:11.160,-78.6773133149999,187.0319370492,24.0466948832
55,26.07.2023 15:37:11.170,-78.6773130929999,187.0319335212,24.0456948892
56,26.07.2023 15:37:11.180,-78.678311689,187.0318800502,24.0466948622
57,26.07.2023 15:37:11.190,-78.679310063,187.0318230512,24.0466948412
58,26.07.2023 15:37:11.200,-78.678311245,187.0318729942,24.0446948742
59,26.07.2023 15:37:11.210,-78.678254247,187.0308746262,24.0446984092
60,26.07.2023 15:37:11.220,-78.678254247,187.0308746262,24.0446984092
61,26.07.2023 15:37:11.230,-78.678254025,187.0308710982,24.0436984152
62,26.07.2023 15:37:11.240,-78.6773126489999,187.0319264652,24.0436949012
63,26.07.2023 15:37:11.250,-78.678311023,187.0318694662,24.0436948802
64,26.07.2023 15:37:11.260,-78.679309619,187.0318159952,24.0446948532
65,26.07.2023 15:37:11.270,-78.678311245,187.0318729942,24.0446948742
66,26.07.2023 15:37:11.280,-78.679309397,187.0318124672,24.0436948592
67,26.07.2023 15:37:11.290,-78.679309397,187.0318124672,24.0436948592
68,26.07.2023 15:37:11.300,-78.678311023,187.0318694662,24.0436948802
69,26.07.2023 15:37:11.310,-78.678253803,187.0308675702,24.0426984212
70,26.07.2023 15:37:11.320,-78.679252399,187.0308140992,24.0436983942
71,26.07.2023 15:37:11.330,-78.679252177,187.0308105712,24.0426984002
72,26.07.2023 15:37:11.340,-78.679252177,187.0308105712,24.0426984002
73,26.07.2023 15:37:11.350,-78.679252177,187.0308105712,24.0426984002
74,26.07.2023 15:37:11.360,-78.679309397,187.0318124672,24.0436948592
