Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
1,26.07.2023 15:44:22.720,-78.723637745,262.0383876362,23.9570570972
2,26.07.2023 15:44:22.730,-78.724636341,262.0383341652,23.9580570702
3,26.07.2023 15:44:22.740,-78.725577495,262.0372752702,23.9570605902
4,26.07.2023 15:44:22.750,-78.725577495,262.0372752702,23.9570605902
5,26.07.2023 15:44:22.760,-78.725577717,262.0372787982,23.9580605842
6,26.07.2023 15:44:22.770,-78.724579121,262.0373322692,23.9570606112
7,26.07.2023 15:44:22.780,-78.724579121,262.0373322692,23.9570606112
8,26.07.2023 15:44:22.790,-78.724578899,262.0373287412,23.9560606172
9,26.07.2023 15:44:22.800,-78.724578899,262.0373287412,23.9560606172
10,26.07.2023 15:44:22.810,-78.724636119,262.0383306372,23.9570570762
11,26.07.2023 15:44:22.820,-78.724636341,262.0383341652,23.9580570702
12,26.07.2023 15:44:22.830,-78.723637967,262.0383911642,23.9580570912
13,26.07.2023 15:44:22.840,-78.724636341,262.0383341652,23.9580570702
14,26.07.2023 15:44:22.850,-78.724636563,262.0383376932,23.9590570642
15,26.07.2023 15:44:22.860,-78.725577495,262.0372752702,23.9570605902
16,26.07.2023 15:44:22.870,-78.725577495,262.0372752702,23.9570605902
17,26.07.2023 15:44:22.880,-78.725577717,262.0372787982,23.9580605842
18,26.07.2023 15:44:22.890,-78.724579121,262.0373322692,23.9570606112
19,26.07.2023 15:44:22.900,-78.724579343,262.0373357972,23.9580606052
20,26.07.2023 15:44:22.910,-78.725577717,262.0372787982,23.9580605842
21,26.07.2023 15:44:22.920,-78.724579121,262.0373322692,23.9570606112
22,26.07.2023 15:44:22.930,-78.724636119,262.0383306372,23.9570570762
23,26.07.2023 15:44:22.940,-78.724636341,262.0383341652,23.9580570702
24,26.07.2023 15:44:22.950,-78.7256347149999,262.0382771662,23.9580570492
25,26.07.2023 15:44:22.960,-78.7265758689999,262.0372182712,23.9570605692
26,26.07.2023 15:44:22.970,-78.725577717,262.0372787982,23.9580605842
