Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
1,26.07.2023 15:43:14.880,-78.713119233,249.5204847552,23.9362231542
2,26.07.2023 15:43:14.890,-78.712120637,249.5205382262,23.9352231812
3,26.07.2023 15:43:14.900,-78.713062235,249.5194863872,23.9362266892
4,26.07.2023 15:43:14.910,-78.713061791,249.5194793312,23.9342267012
5,26.07.2023 15:43:14.920,-78.713062013,249.5194828592,23.9352266952
6,26.07.2023 15:43:14.930,-78.7140603869999,249.5194258602,23.9352266742
7,26.07.2023 15:43:14.940,-78.7150017629999,249.5183704932,23.9352301882
8,26.07.2023 15:43:14.950,-78.7140033889999,249.5184274922,23.9352302092
9,26.07.2023 15:43:14.960,-78.712006641,249.5185414902,23.9352302512
10,26.07.2023 15:43:14.970,-78.713061791,249.5194793312,23.9342267012
11,26.07.2023 15:43:14.980,-78.712063195,249.5195328022,23.9332267282
12,26.07.2023 15:43:14.990,-78.712120637,249.5205382262,23.9352231812
13,26.07.2023 15:43:15.000,-78.7141173849999,249.5204242282,23.9352231392
14,26.07.2023 15:43:15.010,-78.712063639,249.5195398582,23.9352267162
15,26.07.2023 15:43:15.020,-78.712120637,249.5205382262,23.9352231812
16,26.07.2023 15:43:15.030,-78.712063417,249.5195363302,23.9342267222
17,26.07.2023 15:43:15.040,-78.713061791,249.5194793312,23.9342267012
18,26.07.2023 15:43:15.050,-78.713005015,249.5184844912,23.9352302302
19,26.07.2023 15:43:15.060,-78.7140033889999,249.5184274922,23.9352302092
20,26.07.2023 15:43:15.070,-78.713004793,249.5184809632,23.9342302362
21,26.07.2023 15:43:15.080,-78.713061791,249.5194793312,23.9342267012
22,26.07.2023 15:43:15.090,-78.713061569,249.5194758032,23.9332267072
23,26.07.2023 15:43:15.100,-78.713061791,249.5194793312,23.9342267012
24,26.07.2023 15:43:15.110,-78.713061791,249.5194793312,23.9342267012
25,26.07.2023 15:43:15.120,-78.712120637,249.5205382262,23.9352231812
26,26.07.2023 15:43:15.130,-78.712063417,249.5195363302,23.9342267222
27,26.07.2023 15:43:15.140,-78.712063417,249.5195363302,23.9342267222
28,26.07.2023 15:43:15.150,-78.713061791,249.5194793312,23.9342267012
29,26.07.2023 15:43:15.160,-78.7150585389999,249.5193653332,23.9342266592
30,26.07.2023 15:43:15.170,-78.7140033889999,249.5184274922,23.9352302092
31,26.07.2023 15:43:15.180,-78.713005015,249.5184844912,23.9352302302
32,26.07.2023 15:43:15.190,-78.713004793,249.5184809632,23.9342302362
33,26.07.2023 15:43:15.200,-78.713062235,249.5194863872,23.9362266892
34,26.07.2023 15:43:15.210,-78.713062013,249.5194828592,23.9352266952
35,26.07.2023 15:43:15.220,-78.712063417,249.5195363302,23.9342267222
36,26.07.2023 15:43:15.230,-78.712063195,249.5195328022,23.9332267282
37,26.07.2023 15:43:15.240,-78.711064599,249.5195862732,23.9322267552
38,26.07.2023 15:43:15.250,-78.712120415,249.5205346982,23.9342231872
39,26.07.2023 15:43:15.260,-78.713118789,249.5204776992,23.9342231662
40,26.07.2023 15:43:15.270,-78.712063417,249.5195363302,23.9342267222
41,26.07.2023 15:43:15.280,-78.713062013,249.5194828592,23.9352266952
42,26.07.2023 15:43:15.290,-78.712063639,249.5195398582,23.9352267162
43,26.07.2023 15:43:15.300,-78.7140031669999,249.5184239642,23.9342302152
44,26.07.2023 15:43:15.310,-78.7150017629999,249.5183704932,23.9352301882
45,26.07.2023 15:43:15.320,-78.713005015,249.5184844912,23.9352302302
46,26.07.2023 15:43:15.330,-78.7140601649999,249.5194223322,23.9342266802
47,26.07.2023 15:43:15.340,-78.712063639,249.5195398582,23.9352267162
48,26.07.2023 15:43:15.350,-78.712063417,249.5195363302,23.9342267222
49,26.07.2023 15:43:15.360,-78.712063417,249.5195363302,23.9342267222
