TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights
26.07.2023 13:53:50.600,449,-5.83728154899997,349.2269975392,-0.116491428800012,-0.773002460800285,52.9604615999976,0.264802307999988
26.07.2023 13:53:50.610,450,-5.30767693299999,349.1612938942,-0.0551414097999767,-0.83870610580027,52.7463395999975,0.263731697999988
26.07.2023 13:53:50.620,451,-4.78021353700001,349.1155464742,0.0191378102000341,-0.88445352579987,54.7821712000045,0.273910856000023
26.07.2023 13:53:50.630,452,-4.23239182499997,349.1869264512,0.0300079152000015,-0.813073548799935,59.2661691999978,0.296330845999989
26.07.2023 13:53:50.640,453,-3.63973013299999,349.2448475522,0.0429354922000356,-0.755152447800015,65.8168646,0.329084323
26.07.2023 13:53:50.650,454,-2.98156148699999,349.1904620262,0.0962741282000332,-0.809537973800104,70.4788523999998,0.352394261999999
26.07.2023 13:53:50.660,455,-2.27677296299999,349.1616337962,0.10953270720001,-0.838366203800035,68.5089586000015,0.342544793000007
26.07.2023 13:53:50.670,456,-1.59168337699998,349.1796100712,0.0806215012000142,-0.820389928800182,65.3227537999982,0.326613768999991
26.07.2023 13:53:50.680,457,-0.938455838999996,349.1767152192,0.045776803199989,-0.823284780800179,70.5966772000016,0.352983386000008
26.07.2023 13:53:50.690,458,-0.23248906699998,349.1448077642,0.0190462482000011,-0.855192235799848,80.4527287999981,0.40226364399999
26.07.2023 13:53:50.700,459,0.572038221000001,349.1585178402,-0.0288234598000003,-0.841482159800023,84.7714770000024,0.423857385000012
26.07.2023 13:53:50.710,460,1.41975299100002,349.1877146562,-0.0767381988000013,-0.812285343800227,83.8550819999985,0.419275409999992
26.07.2023 13:53:50.720,461,2.25830381100001,349.1844284352,-0.0985402047999928,-0.815571564800166,84.0397060000014,0.420198530000007
26.07.2023 13:53:50.730,462,3.09870087100002,349.1663365892,-0.0882893568000027,-0.833663410799943,86.0307806000023,0.430153903000011
26.07.2023 13:53:50.740,463,3.95900867700005,349.1854646652,-0.0711653488000059,-0.814535334800155,88.6544969999964,0.443272484999982
26.07.2023 13:53:50.750,464,4.84555364700001,349.2011710752,-0.0290232697999766,-0.798828924799977,89.0024595999972,0.445012297999986
26.07.2023 13:53:50.760,465,5.73557824299998,349.2261049052,0.017087054200015,-0.773895094799855,96.8957802000056,0.484478901000028
26.07.2023 13:53:50.770,466,6.70453604500004,349.2544692002,0.0422026981999923,-0.745530799799894,104.785711799996,0.523928558999978
26.07.2023 13:53:50.780,467,7.75239316299999,349.2342201632,0.0585073472000119,-0.765779836799823,105.8693788,0.529346894000001
26.07.2023 13:53:50.790,468,8.811086951,349.1645122462,0.0759889082000083,-0.835487753799953,105.225670400003,0.526128352000017
26.07.2023 13:53:50.800,469,9.86334365500003,349.1373897332,0.0603185781999886,-0.862610266799948,109.128706400001,0.545643532000007
26.07.2023 13:53:50.810,470,10.954630719,349.1634897462,0.019468995199992,-0.836510253799986,114.274115799996,0.571370578999982
26.07.2023 13:53:50.820,471,12.097371877,349.1655402212,-0.00528418879998482,-0.834459778800067,116.817942000002,0.584089710000011
26.07.2023 13:53:50.830,472,13.265551297,349.1430751922,-0.00894508480000411,-0.856924807799999,121.679253599998,0.608396267999991
26.07.2023 13:53:50.840,473,14.482343833,349.1814230072,-0.0288098227999862,-0.81857699279999,126.354489800002,0.631772449000009
26.07.2023 13:53:50.850,474,15.745888731,349.2254484072,-0.0476841847999909,-0.774551592800265,129.935851799999,0.649679258999996
26.07.2023 13:53:50.860,475,17.045247249,349.2035710392,-0.020317770800004,-0.796428960800256,132.5144138,0.662572068999998
26.07.2023 13:53:50.870,476,18.370391387,349.1861883892,0.0120385542000343,-0.813811610800087,135.812770000001,0.679063850000006
26.07.2023 13:53:50.880,477,19.728519087,349.2226775832,0.0172119772000308,-0.777322416800246,134.694473999999,0.673472369999997
26.07.2023 13:53:50.890,478,21.075463827,349.2445126932,0.024434626200035,-0.755487306800148,135.321460400002,0.67660730200001
26.07.2023 13:53:50.900,479,22.428678431,349.2266975272,0.047798663200002,-0.773302472799855,141.372153799995,0.706860768999975
26.07.2023 13:53:50.910,480,23.842399969,349.2192667322,0.0481393742000029,-0.780733267800031,147.893624000003,0.739468120000017
26.07.2023 13:53:50.920,481,25.321336209,349.2274830312,0.0214392132000161,-0.772516968800119,152.742568799997,0.763712843999986
26.07.2023 13:53:50.930,482,26.848761897,349.1934053082,-0.00210092479998436,-0.806594691800171,156.182572200001,0.780912861000003
26.07.2023 13:53:50.940,483,28.410587619,349.1532891912,-0.0226120867999999,-0.84671080880014,158.832943000001,0.794164715000003
26.07.2023 13:53:50.950,484,29.998917049,349.1577276452,-0.051274596799997,-0.842272354799888,160.2848834,0.801424417
26.07.2023 13:53:50.960,485,31.601765883,349.1710115562,-0.0789650777999604,-0.828988443799801,165.096315400003,0.825481577000016
26.07.2023 13:53:50.970,486,33.252729037,349.1661074762,-0.0785805047999597,-0.833892523800046,169.138039799997,0.845690198999986
26.07.2023 13:53:50.980,487,34.944109435,349.1725750592,-0.064226969800006,-0.827424940800142,172.361539600001,0.861807698000007
26.07.2023 13:53:50.990,488,36.667724831,349.2109281202,-0.0509787647999727,-0.789071879800076,175.613289999997,0.878066449999984
26.07.2023 13:53:51.000,489,38.423857731,349.2411285252,-0.0356945497999874,-0.758871474799832,179.295426000003,0.896477130000015
26.07.2023 13:53:51.010,490,40.216811991,349.2404200872,-0.00829301680000016,-0.759579912799893,180.915778999999,0.904578894999993
26.07.2023 13:53:51.020,491,42.025969781,349.2366054652,0.0121230342000382,-0.763394534799886,184.247863599997,0.921239317999987
26.07.2023 13:53:51.030,492,43.868448417,349.2456614652,0.0185009982000102,-0.754338534799899,184.421976000002,0.922109880000011
26.07.2023 13:53:51.040,493,45.712668177,349.2417674562,0.0169249862000018,-0.758232543800204,187.291631600002,0.936458158000008
26.07.2023 13:53:51.050,494,47.585584493,349.2264729952,0.0103955471999966,-0.773527004800087,189.631175199997,0.948155875999987
26.07.2023 13:53:51.060,495,49.481896245,349.2224596302,-0.01616861779999,-0.777540369800192,193.059801200003,0.965299006000016
26.07.2023 13:53:51.070,496,51.412494257,349.2144010792,-0.0407108707999677,-0.785598920800112,194.143516799999,0.970717583999996
