Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1
2023-07-26 13:22:18.690,3312660,3313112,68.7431258544922,68.7471258544922,70.7108559570313,70.7148559977213,-4.834,1.354,6.188,6.16248181350806
2023-07-26 13:22:18.699,3312662,3313114,68.7518217366537,68.7558217773438,70.7195516764323,70.7235517171224,-4.836,1.34,6.176,6.15250453306757
2023-07-26 13:22:18.708,3312664,3313116,68.7605177815755,68.7645178222656,70.7282477213542,70.7322477620443,-4.849,1.203,6.052,6.02890055506617
2023-07-26 13:22:18.717,3312666,3313118,68.7692138264974,68.7732139078776,70.736943766276,70.7409438476563,-4.848,1.24,6.088,6.06262872081921
2023-07-26 13:22:18.724,3312668,3313120,68.7779099121094,68.7819099527995,70.745639851888,70.7496398925781,-4.836,1.216,6.052,6.01686641201429
2023-07-26 13:22:18.733,3312670,3313122,68.7866059570313,68.7906059977213,70.7543358968099,70.7583359375,-4.836,1.24,6.076,6.03612174503292
2023-07-26 13:22:18.742,3312672,3313124,68.7953016764323,68.7993017578125,70.7630319417318,70.7670319824219,-4.86,1.228,6.088,6.04822096577938
2023-07-26 13:22:18.750,3312674,3313126,68.8039977620443,68.8079978027344,70.7717277018229,70.775727742513,-4.858,1.165,6.023,5.98725225382068
2023-07-26 13:22:18.759,3312676,3313128,68.8126938069661,68.8166938476563,70.7804237467448,70.7844237874349,-4.88,1.28,6.16,6.13603288892079
2023-07-26 13:22:18.768,3312678,3313130,68.821389851888,68.8253899332682,70.7891197916667,70.7931198730469,-4.846,1.291,6.137,6.10479131378252
2023-07-26 13:22:18.777,3312680,3313132,68.8300859375,68.8340859781901,70.7978158772786,70.8018159179688,-4.862,1.242,6.104,6.06957428800632
2023-07-26 13:22:18.785,3312682,3313134,68.8387819824219,68.842782023112,70.8065119222005,70.8105119628906,-4.862,1.27,6.132,6.09309444695129
