sample_index,x_mm,centerline,top_edge,bottom_edge
0,0.0,-0.9552646887814804,2.2070913758820456,-4.117620753445006
0,1.0,-0.6972282154414297,2.4541744325432813,-3.8486308634261404
0,2.0,-0.9067732224128483,2.2640532520867303,-4.077599696912427
0,3.0,-0.34596369137895056,2.817402213566899,-3.5093295963247995
0,4.0,-0.8620593554086992,2.248134028245428,-3.9722527390628266
0,5.0,-0.3963963857961583,2.7823285899882513,-3.575121361580568
0,6.0,-0.5870273109991337,2.544751548050556,-3.7188061700488237
0,7.0,-0.5551008969681289,2.60593283749601,-3.716134631432268
0,8.0,-0.8066282620073666,2.283215354779628,-3.8964718787943617
0,9.0,-0.5906986403134582,2.581588707289084,-3.762985987916001
0,10.0,-0.6796079516658468,2.4859107104589655,-3.8451266137906592
0,11.0,-0.7052488434354587,2.4611644478338475,-3.8716621347047644
0,12.0,-0.3126440617444656,2.822698102650986,-3.4479862261399172
0,13.0,-0.9453401608737969,2.1792376054506883,-4.069917927198282
0,14.0,-0.7140973821110131,2.380685121226947,-3.8088798854489734
0,15.0,-0.2549555312349079,2.8874611209324277,-3.3973721834022435
0,16.0,-0.840824482126229,2.2896537482616566,-3.971302712514114
0,17.0,-0.9140413730988042,2.2577507225601057,-4.085833468757714
0,18.0,-0.6111409625072192,2.5419089013039384,-3.7641908263183765
0,19.0,-0.3740300933596752,2.7176082745897956,-3.4656684613091455
0,20.0,-0.7266752420142122,2.4144397588551296,-3.8677902428835544
0,21.0,-0.667312237061924,2.454708373123709,-3.7893328472475565
0,22.0,-0.8204477040155574,2.28470758716186,-3.925602995192975
0,23.0,-0.9055333065006499,2.18802892307896,-3.99909553608026
0,24.0,-0.3579801964478675,2.814192332370726,-3.5301527252664613
0,25.0,-0.7059095275764903,2.43180007353913,-3.84361912869211
0,26.0,-1.0492647830994613,2.0885175257345305,-4.187047091933453
0,27.0,-0.8625160983940514,2.280622501505979,-4.005654698294082
0,28.0,-0.6314423692814625,2.5060640418562383,-3.7689487804191635
0,29.0,-0.9447704004338611,2.1258213104171686,-4.01536211128489
0,30.0,-0.6445658895330288,2.471886245123901,-3.7610180241899585
0,31.0,-0.5147916157864824,2.6584107585658767,-3.6879939901388417
0,32.0,-0.5750631669958322,2.5834130717792068,-3.7335394057708706
0,33.0,-0.7064621952648296,2.4626618046725364,-3.875586195202195
0,34.0,-0.37968138622541603,2.746211558729094,-3.5055743311799255
0,35.0,-0.9388264374825046,2.152653349910583,-4.030306224875592
0,36.0,-0.5678793933158124,2.5947199846041125,-3.7304787712357372
0,37.0,-0.7585439702351633,2.362484828321187,-3.8795727687915136
0,38.0,-0.4379312168976953,2.656937503439373,-3.5327999372347634
0,39.0,-0.8912817474533714,2.2637322484362494,-4.046295743342992
0,40.0,-1.0027931541764392,2.16739415891604,-4.172980467268919
0,41.0,-0.774628475100811,2.3695537130098208,-3.918810663211443
0,42.0,-0.4372653413661856,2.6741998843109163,-3.5487305670432874
0,43.0,-0.8730195912808827,2.236804826329608,-3.9828440088913735
0,44.0,-0.46583705833861133,2.6784801970014476,-3.6101543136786702
0,45.0,-0.6081957660536264,2.516310719585313,-3.732702251692565
0,46.0,-0.4054632947593302,2.7526579946062144,-3.5635845841248743
0,47.0,-0.6220046048686031,2.5108397179091515,-3.754848927646358
0,48.0,-0.5477847059243379,2.5856236767845067,-3.681193088633182
0,49.0,-0.3319387845807106,2.862947139918664,-3.5268247090800853
0,50.0,-0.29699765234449793,2.83560190967966,-3.4295972143686555
0,51.0,-1.0133178742074866,2.0895912218833956,-4.116226970298369
0,52.0,-0.6726964635927414,2.4991413391442467,-3.8445342663297293
0,53.0,-0.6016519394989188,2.5598771361705186,-3.763181015168356
0,54.0,-0.30341134522619106,2.7796362622930975,-3.38645895274548
0,55.0,-0.8531525165091993,2.2947342972179534,-4.0010393302363525
0,56.0,-0.7722668055060262,2.357139119719964,-3.901672730732016
0,57.0,-0.4662152747048015,2.7099315878062558,-3.642362137215859
0,58.0,-0.5935127672708922,2.5562184582643703,-3.7432439928061547
0,59.0,-0.49031787143095884,2.6481754902188372,-3.6288112330807554
0,60.0,-0.687190949626266,2.418541221698826,-3.7929231209513574
0,61.0,-1.0487707307887661,2.0868861992855186,-4.184427660863051
0,62.0,-0.958290566263149,2.1826226692059447,-4.0992038017322425
0,63.0,-0.47872254557678295,2.62378933064457,-3.5812344217981362
0,64.0,-0.5129536268302392,2.5958426032759654,-3.621749856936444
0,65.0,-0.7656238323881708,2.3763005736802594,-3.9075482384566014
0,66.0,-0.6652581171926545,2.511949723035137,-3.842465957420446
0,67.0,-0.5993362456359377,2.520643569745424,-3.7193160610172997
0,68.0,-0.7835097751516429,2.3755043157520865,-3.9425238660553723
0,69.0,-0.6625158615032367,2.453688443629462,-3.7787201666359356
0,70.0,-0.6755170501485634,2.4668726202293625,-3.817906720526489
0,71.0,-0.7344023069430687,2.450818026291767,-3.919622640177904
0,72.0,-0.5757137344944495,2.571245895649314,-3.7226733646382133
0,73.0,-0.5481293280398296,2.6262486891447123,-3.722507345224372
0,74.0,-0.7404332399193349,2.376148609109126,-3.857015088947796
0,75.0,-0.6424436193321927,2.492097047326758,-3.7769842859911433
0,76.0,-0.4045914280682651,2.736775231143272,-3.545958087279802
0,77.0,-0.9429534551900671,2.2286911606996145,-4.114598071079749
0,78.0,-1.0671588452275502,2.1073599463001615,-4.241677636755262
0,79.0,-0.6168858806115246,2.566508888631574,-3.800280649854623
0,80.0,-0.6494075857102097,2.4794847145462184,-3.778299885966638
0,81.0,-0.9918652008698647,2.130857614856561,-4.114588016596291
0,82.0,-0.39470556391947464,2.676324416931584,-3.4657355447705336
0,83.0,-0.6584503281976724,2.436910016955232,-3.7538106733505767
