Tow #,MSE,rho,dominant freq
2,0.000106141249558527,0.9911172605798875,1.9980019980019978
3,6.70737382107555e-05,0.9827508679371677,2.9970029970029968
4,0.00015780332326008199,0.9551281955526615,5.9940059940059935
5,0.0001622253079911715,0.9539602909974787,3.9960039960039957
6,8.52177291573762e-05,0.9849819965524255,2.9970029970029968
7,0.00014564112922605207,0.9587066612061805,2.9970029970029968
8,6.1828135387789e-05,0.9849104901271093,2.9970029970029968
9,4.037583670885671e-05,0.9937429389036447,1.9980019980019978
10,0.00016033199387132773,0.9567744812060758,1.9980019980019978
11,0.00017026331054625565,0.9562877669663268,2.9970029970029968
12,0.0003048795577514418,0.912537846337174,2.9970029970029968
13,0.00023680425415451473,0.9643583654815823,3.9960039960039957
14,7.416233168523268e-05,0.9878792925921164,1.9980019980019978
15,0.0002663349163715157,0.9492845990396787,1.9980019980019978
16,0.000239096629661068,0.9357000977532188,1.9980019980019978
17,0.00011877992029992692,0.9671612115127836,1.9980019980019978
18,0.00023452713164452826,0.9425924561821125,1.9980019980019978
19,0.00021377467863707225,0.9871545678934546,2.9970029970029968
20,0.0005938595069200725,0.8182435167159204,1.9980019980019978
21,0.00040856025325289975,0.8812234239758314,2.9970029970029968
22,0.00033615059760219924,0.9808272735823966,1.9980019980019978
23,0.00023260747619553642,0.9382957650337839,1.9980019980019978
24,0.00012179358289697563,0.9655365513839096,2.9970029970029968
25,0.000941807042138086,0.7589318123537439,2.9970029970029968
26,0.0005202822680895333,0.9774250360718929,1.9980019980019978
27,0.00014516859697768434,0.986260754828302,2.9970029970029968
28,0.00012401888622364952,0.9660576340287912,1.9980019980019978
29,0.00041483817237503764,0.9810688669149807,1.9980019980019978
30,0.00047235737188247573,0.8641708095565099,3.9960039960039957
AVG,0.0002467829285750912,0.9476920976299013,2.7214165145199622
