Tow #,MSE,rho,dominant freq
1,nan,nan,nan
2,0.00020828234152886455,-0.06850271898013115,66.43356643356643
3,0.00028843744932038163,-0.06429239521066651,198.05194805194805
4,0.00022951185619510478,-0.07883528401308233,209.7902097902098
5,0.0002642487131520085,-0.009526607108726303,17.23276723276723
6,0.0001874592207521597,0.031981671729975084,238.5114885114885
7,0.00019963460579188637,-0.023790280902257117,90.40959040959041
8,0.0002266860371040486,-0.030616111830797287,121.62837162837162
9,0.00021813724866651438,-0.046299449775872144,179.07092907092905
10,0.00018145185465795962,0.046280565580574064,193.3066933066933
11,0.0002746981844076194,-0.018420993338868943,15.734265734265733
12,0.00023385192458666806,0.027553170761574954,219.030969030969
13,0.00031709754191506346,-0.107727521208123,224.77522477522476
14,0.00024101995838023536,-0.0005757673357427383,45.45454545454545
15,0.00022651416074401682,-0.06959760748133591,202.79720279720277
16,0.00019785098151728673,-0.014344162548268997,144.35564435564436
17,0.00022360746876635577,0.013291657543282306,101.89810189810188
18,0.00047570316821027867,-0.01160983375281283,50.199800199800194
19,0.0002605815691182705,0.002121838416118371,97.15284715284714
20,0.0003223754907358297,-0.08549219795432772,128.12187812187813
21,0.00040167618133518917,-0.07478845336587786,149.85014985014985
22,0.00038473622012552013,-0.01795199526053084,163.08691308691309
23,0.0003890781573524608,-0.028389604601713195,148.1018981018981
24,0.00018288049623120558,0.08517130666517105,43.45654345654345
25,0.00033153240541361603,-0.12013814473299515,35.71428571428571
26,0.0005043272205025746,-0.044549441185320296,139.6103896103896
27,0.00021283008999325106,0.09878404094187071,3.9960039960039957
28,0.0002876430040844663,-0.06172334485743862,54.44555444555444
29,0.00045920508214329474,-0.03461859277890359,114.88511488511487
30,0.0003469951418823084,-0.08542230864288991,78.17182817182817
31,nan,nan,nan
AVG,0.0002854501301591186,-0.027311329835452265,119.83705949223192
