mcmc_index,x_mm,centerline,top_edge,bottom_edge
0,0.0,-0.5170466726369245,2.598612160574448,-3.632705505848297
0,2.6881720430107525,-0.4927122681881721,2.6075522111540743,-3.5929767475304186
0,5.376344086021505,-0.3880033050381694,2.714286084881398,-3.4902926949577364
0,8.064516129032258,-0.3366534035277605,2.789772490553447,-3.463079297608968
0,10.75268817204301,-0.24556989878105062,2.887332725353221,-3.378472522915322
0,13.440860215053762,-0.2717879014285528,2.8657074640161584,-3.409283266873264
0,16.129032258064516,-0.31488552362244626,2.840028836072797,-3.4697998833176893
0,18.817204301075268,-0.3251117955766094,2.8475938497344524,-3.4978174408876708
0,21.50537634408602,-0.35730911260833964,2.819573438790197,-3.534191664006877
0,24.193548387096772,-0.337003996379191,2.830662457953649,-3.5046704507120308
0,26.881720430107524,-0.42147762155520996,2.756736309871686,-3.599691552982106
0,29.569892473118276,-0.3739765970091753,2.809665970812076,-3.5576191648304265
0,32.25806451612903,-0.37554083078237066,2.8081017370388803,-3.559183398603622
0,34.946236559139784,-0.39502067521090434,2.794851629095382,-3.5848929795171904
0,37.634408602150536,-0.46087146084326225,2.734394051314076,-3.6561369730006006
0,40.32258064516129,-0.5356359032816137,2.6677262059117672,-3.7389980124749944
0,43.01075268817204,-0.5144182887972493,2.6986758735941314,-3.72751245118863
0,45.69892473118279,-0.5189431909842144,2.694975153388205,-3.732861535356634
0,48.387096774193544,-0.5850923795060684,2.6192071727011146,-3.789391931713251
0,51.0752688172043,-0.6135236379370058,2.590239546200693,-3.8172868220747045
0,53.76344086021505,-0.6408371618827752,2.5642886793158937,-3.845963003081444
0,56.4516129032258,-0.5765961304879297,2.6184110531425246,-3.771603314118384
0,59.13978494623655,-0.5865636674362672,2.6013400448681483,-3.7744673797406825
0,61.827956989247305,-0.6695328272493624,2.518332834654572,-3.8573984891532973
0,64.51612903225806,-0.6680904031493955,2.5276386994968356,-3.8638195057956266
0,67.20430107526882,-0.6766218646794248,2.5164881550983647,-3.8697318844572144
0,69.89247311827957,-0.8006846025057494,2.389467310965232,-3.9908365159767305
