Tow #,MSE,rho,dominant freq
1,nan,nan,nan
2,5.755772513259241e-05,0.7878560835200197,1.4985014985014984
3,7.900507817277531e-05,0.6574083532429161,1.4985014985014984
4,9.70175905388218e-05,0.7226071074041454,2.2477522477522474
5,5.390968454689325e-05,0.8084200171484046,1.4985014985014984
6,7.46969692513112e-05,0.7188443764980933,1.9980019980019978
7,5.9580611339109776e-05,0.8115239627502834,1.2487512487512487
8,0.00012040645921052498,0.7988273022626365,1.4985014985014984
9,6.58990485859736e-05,0.8210104630634901,1.4985014985014984
10,0.00039373044774030074,0.5750339581727861,1.2487512487512487
11,5.149240665132484e-05,0.8041561107436591,2.4975024975024973
12,8.04154571938773e-05,0.898632111313206,1.2487512487512487
13,0.00011413316082338899,0.6547655237090196,6.743256743256743
14,5.638965679183095e-05,0.7394460714568843,1.4985014985014984
15,5.176164379144628e-05,0.8110801045302662,2.7472527472527473
16,6.420813665814348e-05,0.8192808979808052,1.4985014985014984
17,6.443783598568963e-05,0.883289742892876,2.4975024975024973
18,0.0002363937616135419,0.5674102907481756,2.2477522477522474
19,9.982000437136504e-05,0.7393069448455373,1.2487512487512487
20,0.00010696260510527694,0.7222788364196576,1.9980019980019978
21,0.00013751313463111986,0.7270850213067284,2.4975024975024973
22,8.570556750185391e-05,0.8526918701953003,1.2487512487512487
23,7.414212889076614e-05,0.8505613539775658,1.2487512487512487
24,0.00012674940998448446,0.8308961919210216,3.4965034965034962
25,9.0022067058942e-05,0.7761699431095243,1.4985014985014984
26,9.785095228603587e-05,0.9246477330865425,2.4975024975024973
27,0.00018254759283828055,0.6213494966773028,1.2487512487512487
28,6.136283704067595e-05,0.7903217100803809,1.2487512487512487
29,0.0001576674926505159,0.7710138020431714,1.7482517482517481
30,4.0666684018258254e-05,0.9152995455213728,1.2487512487512487
31,nan,nan,nan
AVG,0.00010282917760017662,0.7724556871248887,1.9463295325364287
