Time,X_mm,TapeCenterLine,Weights
07/26/2023 14:14:16.981,171.447967273046,-0.1194795,1.00562506722667
07/26/2023 14:14:16.998,174.7197166775,-0.1194795,1.00025958356012
07/26/2023 14:14:17.014,177.974032224523,-0.1274448,1.00083167980735
07/26/2023 14:14:17.030,181.220830464481,-0.1274448,0.999065199638266
07/26/2023 14:14:17.046,184.467525728911,-0.0637224,1.00381991085387
07/26/2023 14:14:17.063,187.727773791348,-0.159306,0.997981271062984
07/26/2023 14:14:17.079,190.969485932892,-0.0876183,0.998316211622064
07/26/2023 14:14:17.095,194.214021200595,-0.1035489,1.00662233514418
07/26/2023 14:14:17.111,197.489477224187,-0.0318612,1.0037425975638
07/26/2023 14:14:17.128,200.751097571814,-0.0637224,0.997171437756561
07/26/2023 14:14:17.144,203.99970485768,-0.0398265,1.00354384778703
07/26/2023 14:14:17.160,207.256252021373,-0.0716877,0.998402038462503
07/26/2023 14:14:17.176,210.510926501827,0.0238959,1.00165963264152
07/26/2023 14:14:17.193,213.764441543479,0.0398265,1.00158072147398
07/26/2023 14:14:17.209,217.021730225208,0.0398265,0.9982254021439
07/26/2023 14:14:17.225,220.269900366666,0.0477918,1.00029802167259
07/26/2023 14:14:17.241,223.522972198476,0.0716877,1.00668334765436
07/26/2023 14:14:17.258,226.786622856285,0.0318612,1.00056818741662
07/26/2023 14:14:17.274,230.042136189174,-0.0159306,1.00029648585096
07/26/2023 14:14:17.290,233.287124628067,0.0079653,1.00148098962449
07/26/2023 14:14:17.306,236.540416131328,0.0477918,0.99637752208987
07/26/2023 14:14:17.323,239.779186325706,0.0159306,1.00039648588506
07/26/2023 14:14:17.339,243.03433679191,-0.0318612,1.00201047598872
07/26/2023 14:14:17.355,246.286243754143,0.0079653,0.994370177053632
07/26/2023 14:14:17.371,249.519128189796,0.0637224,1.00296611631123
07/26/2023 14:14:17.388,252.775467138669,0.0079653,1.00798269213445
07/26/2023 14:14:17.404,256.040637392284,0.079653,0.9935970865756
07/26/2023 14:14:17.420,259.267186175024,-0.0079653,0.994282117839741
07/26/2023 14:14:17.436,262.508594653547,0.0637224,1.00127111597035
07/26/2023 14:14:17.453,265.761288546988,0.0238959,0.999836431428522
07/26/2023 14:14:17.469,269.010781153595,0.0398265,0.995095432631295
07/26/2023 14:14:17.485,272.245836277158,-0.0238959,0.997093225306357
07/26/2023 14:14:17.501,275.492161524983,-0.0079653,1.00673866660056
07/26/2023 14:14:17.518,278.746520510348,0,0.999320112332056
07/26/2023 14:14:17.534,281.987919690959,0.0079653,0.994774464218749
07/26/2023 14:14:17.550,285.225303662046,0.0318612,0.997343685764902
07/26/2023 14:14:17.566,288.474854569826,0.0557571,0.998903611717635
07/26/2023 14:14:17.583,291.720979807909,0.0637224,0.999242146177255
07/26/2023 14:14:17.599,294.964559304014,0.1115142,1.0010231735682
07/26/2023 14:14:17.615,298.220980576615,0.0716877,1.00238093847963
07/26/2023 14:14:17.631,301.475181790644,0.0955836,0.997140907500835
07/26/2023 14:14:17.648,304.72225360217,0.1194795,0.991926918854485
07/26/2023 14:14:17.664,307.955859948537,0.1274448,1.00186515664749
07/26/2023 14:14:17.680,311.209378507474,0.1194795,1.00347409139251
07/26/2023 14:14:17.696,314.461080402759,0.1354101,0.999434994500409
07/26/2023 14:14:17.713,317.713376245124,0.1274448,1.00200398770269
07/26/2023 14:14:17.729,320.962870453029,0.1194795,0.99967224488528
07/26/2023 14:14:17.745,324.208324901746,0.1274448,1.00353857161489
07/26/2023 14:14:17.761,327.472280330463,0.1832019,0.999664109806656
07/26/2023 14:14:17.778,330.725254377146,0.1832019,0.999805927469379
07/26/2023 14:14:17.794,333.967882539532,0.1433754,0.996720913691209
07/26/2023 14:14:17.810,337.213600171658,0.1194795,1.00292473442181
07/26/2023 14:14:17.826,340.475455521752,0.1433754,1.00127486883656
07/26/2023 14:14:17.843,343.731449715549,0.1274448,1.00481446769494
07/26/2023 14:14:17.859,346.99423177844,0.1274448,1.00402111444739
07/26/2023 14:14:17.875,350.251919141074,0.1194795,1.002836948022
07/26/2023 14:14:17.891,353.515241934251,0.1035489,1.0065454539056
07/26/2023 14:14:17.908,356.779926542524,0.159306,1.00115533396962
07/26/2023 14:14:17.924,360.035709191786,0.1354101,1.00275987094392
07/26/2023 14:14:17.940,363.292134151128,0.1274448,0.993723309376762
07/26/2023 14:14:17.956,366.533536442381,0.079653,0.994111758158231
07/26/2023 14:14:17.973,369.76527387079,0.1513407,1.00104777330026
07/26/2023 14:14:17.989,373.022767587391,0.1672713,0.996730847637782
07/26/2023 14:14:18.005,376.267308307087,0.1115142,0.996973525106409
07/26/2023 14:14:18.021,379.506093872042,0.1194795,1.00054353461194
07/26/2023 14:14:18.038,382.756299009143,0.1194795,0.998822130980893
07/26/2023 14:14:18.054,386.001662389949,0.1274448,0.996151118588894
07/26/2023 14:14:18.070,389.238225155087,0.159306,1.00803544877794
07/26/2023 14:14:18.086,392.505646950143,0.0955836,0.998310871135525
07/26/2023 14:14:18.103,395.745855506914,0.159306,0.992127850071567
07/26/2023 14:14:18.119,398.967788743307,0.1354101,0.996455945201174
07/26/2023 14:14:18.135,402.20901355686,0.1672713,0.999039468546512
07/26/2023 14:14:18.151,405.457054470118,0.1274448,1.00189699114673
07/26/2023 14:14:18.168,408.712818652624,0.1354101,0.998130259944444
07/26/2023 14:14:18.184,411.95699411729,0.1274448,1.00164144698056
07/26/2023 14:14:18.200,415.216361551662,0.1035489,1.0033246354441
07/26/2023 14:14:18.216,418.47889062005,0.1354101,1.00595460467634
07/26/2023 14:14:18.233,421.740168817,0.1115142,0.995086301682222
07/26/2023 14:14:18.249,424.979284345364,0.1354101,1.0003019108189
07/26/2023 14:14:18.265,428.229333083021,0.1194795,1.00084177790567
07/26/2023 14:14:18.281,431.481433740433,0.1274448,0.996786876931367
07/26/2023 14:14:18.298,434.718368134757,0.1433754,0.997339428542329
07/26/2023 14:14:18.314,437.965513140979,0.1752366,1.00041669415857
07/26/2023 14:14:18.330,441.211817933231,0.1991325,0.997548492438847
07/26/2023 14:14:18.346,444.456983611858,0.1991325,0.999340930838013
07/26/2023 14:14:18.363,447.708619484904,0.1513407,1.00530195352408
